Type,Digits,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,batch_yes_mean,batch_no_mean,calibrated_yes_logprob,calibrated_no_logprob,raw_predicted_answer,raw_is_correct,batchcalib_predicted_answer,batchcalib_is_correct
Arithmetic,2_digit_multiplication,'',Is 15 times 20 equal to 300?,Yes,-5.029815196990967,-4.660827159881592,-5.086826677322388,-4.680026340484619,0.057011480331421005,0.019199180603027166,No,False,Yes,True
Arithmetic,2_digit_subtraction,'',Is 20 minus 51 equal to 906?,No,-5.396200656890869,-4.654709339141846,-5.086826677322388,-4.680026340484619,-0.30937397956848134,0.02531700134277326,No,True,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 4 equal to 6?,Yes,-4.994709491729736,-4.8138108253479,-5.086826677322388,-4.680026340484619,0.09211718559265147,-0.13378448486328143,No,False,Yes,True
Arithmetic,1_digit_multiplication,'',Is 4 times 2 equal to 2?,No,-4.999478340148926,-4.945609092712402,-5.086826677322388,-4.680026340484619,0.08734833717346202,-0.2655827522277834,No,True,Yes,False
Arithmetic,1_digit_addition,'',Is 7 plus 7 equal to 72?,No,-4.866778373718262,-4.498056411743164,-5.086826677322388,-4.680026340484619,0.22004830360412608,0.1819699287414549,No,True,Yes,False
Arithmetic,2_digit_multiplication,'',Is 54 times 51 equal to 2754?,Yes,-5.001380920410156,-4.703272342681885,-5.086826677322388,-4.680026340484619,0.08544575691223155,-0.023246002197265803,No,False,Yes,True
Arithmetic,1_digit_subtraction,'',Is 1 minus 7 equal to -6?,Yes,-5.670491695404053,-5.064085006713867,-5.086826677322388,-4.680026340484619,-0.5836650180816649,-0.3840586662292482,No,False,No,False
Arithmetic,2_digit_subtraction,'',Is 47 minus 38 equal to 9?,Yes,-5.09702730178833,-4.54918909072876,-5.086826677322388,-4.680026340484619,-0.010200624465942276,0.1308372497558592,No,False,No,False
Arithmetic,1_digit_multiplication,'',Is 7 times 8 equal to 77?,No,-5.08921480178833,-4.726153373718262,-5.086826677322388,-4.680026340484619,-0.0023881244659422762,-0.046127033233642756,No,True,Yes,False
Arithmetic,2_digit_subtraction,'',Is 27 minus 13 equal to 93?,No,-5.000555038452148,-4.382010459899902,-5.086826677322388,-4.680026340484619,0.08627163887023936,0.2980158805847166,No,True,No,True
Arithmetic,2_digit_subtraction,'',Is 64 minus 25 equal to 67?,No,-5.130575656890869,-4.576584339141846,-5.086826677322388,-4.680026340484619,-0.04374897956848134,0.10344200134277326,No,True,No,True
