Type,Digits,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,batch_yes_mean,batch_no_mean,calibrated_yes_logprob,calibrated_no_logprob,raw_predicted_answer,raw_is_correct,batchcalib_predicted_answer,batchcalib_is_correct
Arithmetic,2_digit_multiplication,'',Is 15 times 20 equal to 300?,Yes,-5.029815196990967,-4.660827159881592,-5.066058899402618,-4.678052591323852,0.03624370241165131,0.017225431442260408,No,False,Yes,True
Arithmetic,2_digit_subtraction,'',Is 20 minus 51 equal to 906?,No,-5.396200656890869,-4.654709339141846,-5.066058899402618,-4.678052591323852,-0.33014175748825103,0.023343252182006502,No,True,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 4 equal to 6?,Yes,-4.994709491729736,-4.8138108253479,-5.066058899402618,-4.678052591323852,0.07134940767288178,-0.13575823402404819,No,False,Yes,True
Arithmetic,1_digit_multiplication,'',Is 4 times 2 equal to 2?,No,-4.999478340148926,-4.945609092712402,-5.066058899402618,-4.678052591323852,0.06658055925369233,-0.26755650138855014,No,True,Yes,False
Arithmetic,1_digit_addition,'',Is 7 plus 7 equal to 72?,No,-4.866778373718262,-4.498056411743164,-5.066058899402618,-4.678052591323852,0.1992805256843564,0.17999617958068814,No,True,Yes,False
Arithmetic,2_digit_multiplication,'',Is 54 times 51 equal to 2754?,Yes,-5.001380920410156,-4.703272342681885,-5.066058899402618,-4.678052591323852,0.06467797899246186,-0.02521975135803256,No,False,Yes,True
Arithmetic,1_digit_subtraction,'',Is 1 minus 7 equal to -6?,Yes,-5.670491695404053,-5.064085006713867,-5.066058899402618,-4.678052591323852,-0.6044327960014346,-0.386032415390015,No,False,No,False
Arithmetic,2_digit_subtraction,'',Is 47 minus 38 equal to 9?,Yes,-5.09702730178833,-4.54918909072876,-5.066058899402618,-4.678052591323852,-0.03096840238571197,0.12886350059509244,No,False,No,False
Arithmetic,1_digit_multiplication,'',Is 7 times 8 equal to 77?,No,-5.08921480178833,-4.726153373718262,-5.066058899402618,-4.678052591323852,-0.02315590238571197,-0.048100782394409514,No,True,Yes,False
Arithmetic,2_digit_subtraction,'',Is 27 minus 13 equal to 93?,No,-5.000555038452148,-4.382010459899902,-5.066058899402618,-4.678052591323852,0.06550386095046967,0.29604213142394986,No,True,No,True
Arithmetic,2_digit_subtraction,'',Is 64 minus 25 equal to 67?,No,-5.130575656890869,-4.576584339141846,-5.066058899402618,-4.678052591323852,-0.06451675748825103,0.1014682521820065,No,True,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 5 equal to 16?,No,-4.952715873718262,-4.583368301391602,-5.066058899402618,-4.678052591323852,0.11334302568435639,0.09468428993225064,No,True,Yes,False
Arithmetic,1_digit_addition,'',Is 2 plus 6 equal to 6?,No,-5.002712726593018,-4.82176399230957,-5.066058899402618,-4.678052591323852,0.06334617280960053,-0.1437114009857181,No,True,Yes,False
Arithmetic,2_digit_subtraction,'',Is 51 minus 29 equal to 91?,No,-4.721155643463135,-4.290359020233154,-5.066058899402618,-4.678052591323852,0.34490325593948334,0.3876935710906979,No,True,No,True
Arithmetic,1_digit_subtraction,'',Is 5 minus 2 equal to 5?,No,-5.167178153991699,-4.734092712402344,-5.066058899402618,-4.678052591323852,-0.10111925458908111,-0.056040121078491545,No,True,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 3 equal to 10?,Yes,-5.043581962585449,-4.611961841583252,-5.066058899402618,-4.678052591323852,0.02247693681716889,0.06609074974060025,No,False,No,False
Arithmetic,1_digit_multiplication,'',Is 4 times 6 equal to 24?,Yes,-4.789254665374756,-4.610836505889893,-5.066058899402618,-4.678052591323852,0.27680423402786225,0.06721608543395963,No,False,Yes,True
Arithmetic,2_digit_addition,'',Is 48 plus 96 equal to 144?,Yes,-4.9416279792785645,-4.44762659072876,-5.066058899402618,-4.678052591323852,0.12443092012405366,0.23042600059509244,No,False,No,False
Arithmetic,2_digit_subtraction,'',Is 41 minus 45 equal to 94?,No,-4.8724751472473145,-4.317743301391602,-5.066058899402618,-4.678052591323852,0.19358375215530366,0.36030928993225064,No,True,No,True
Arithmetic,1_digit_multiplication,'',Is 6 times 3 equal to 56?,No,-4.775022506713867,-4.656805038452148,-5.066058899402618,-4.678052591323852,0.2910363926887509,0.021247552871703768,No,True,Yes,False
Arithmetic,1_digit_subtraction,'',Is 7 minus 3 equal to 4?,Yes,-5.226859092712402,-4.735752105712891,-5.066058899402618,-4.678052591323852,-0.16080019330978423,-0.05769951438903842,No,False,No,False
Arithmetic,2_digit_addition,'',Is 26 plus 85 equal to 331?,No,-4.9075608253479,-4.4771904945373535,-5.066058899402618,-4.678052591323852,0.15849807405471772,0.2008620967864987,No,True,No,True
Arithmetic,2_digit_addition,'',Is 71 plus 34 equal to 352?,No,-4.735960006713867,-4.432803153991699,-5.066058899402618,-4.678052591323852,0.3300988926887509,0.245249437332153,No,True,Yes,False
Arithmetic,1_digit_subtraction,'',Is 8 minus 8 equal to 0?,Yes,-5.239665985107422,-4.5638108253479,-5.066058899402618,-4.678052591323852,-0.17360708570480377,0.11424176597595181,No,False,No,False
Arithmetic,1_digit_addition,'',Is 3 plus 1 equal to 4?,Yes,-4.888125419616699,-4.766921520233154,-5.066058899402618,-4.678052591323852,0.1779334797859189,-0.08886892890930209,No,False,Yes,True
Arithmetic,1_digit_subtraction,'',Is 3 minus 7 equal to 88?,No,-5.039617538452148,-4.483019828796387,-5.066058899402618,-4.678052591323852,0.026441360950469672,0.1950327625274655,No,True,No,True
Arithmetic,2_digit_addition,'',Is 13 plus 36 equal to 31?,No,-4.866778373718262,-4.498056411743164,-5.066058899402618,-4.678052591323852,0.1992805256843564,0.17999617958068814,No,True,Yes,False
Arithmetic,1_digit_multiplication,'',Is 3 times 0 equal to 0?,Yes,-4.905860900878906,-4.790647506713867,-5.066058899402618,-4.678052591323852,0.16019799852371186,-0.11259491539001498,No,False,Yes,True
Arithmetic,1_digit_subtraction,'',Is 0 minus 0 equal to 0?,Yes,-5.430219650268555,-4.889241695404053,-5.066058899402618,-4.678052591323852,-0.3641607508659366,-0.21118910408020053,No,False,No,False
Arithmetic,1_digit_multiplication,'',Is 6 times 3 equal to 18?,Yes,-4.902445793151856,-4.846155643463135,-5.066058899402618,-4.678052591323852,0.16361310625076175,-0.16810305213928256,No,False,Yes,True
Arithmetic,1_digit_subtraction,'',Is 0 minus 1 equal to -1?,Yes,-5.695844650268555,-5.09703540802002,-5.066058899402618,-4.678052591323852,-0.6297857508659366,-0.4189828166961682,No,False,No,False
Arithmetic,2_digit_subtraction,'',Is 11 minus 72 equal to 552?,No,-5.2775654792785645,-4.660827159881592,-5.066058899402618,-4.678052591323852,-0.21150657987594634,0.017225431442260408,No,True,No,True
Arithmetic,2_digit_addition,'',Is 78 plus 53 equal to 659?,No,-5.110874652862549,-4.6849751472473145,-5.066058899402618,-4.678052591323852,-0.04481575345993072,-0.006922555923462248,No,True,No,True
Arithmetic,2_digit_addition,'',Is 66 plus 58 equal to 124?,Yes,-4.914254665374756,-4.424990653991699,-5.066058899402618,-4.678052591323852,0.15180423402786225,0.253061937332153,No,False,No,False
Arithmetic,1_digit_subtraction,'',Is 9 minus 2 equal to 7?,Yes,-5.254519462585449,-4.698450088500977,-5.066058899402618,-4.678052591323852,-0.1884605631828311,-0.020397497177124357,No,False,No,False
Arithmetic,1_digit_multiplication,'',Is 0 times 4 equal to 0?,Yes,-5.316341876983643,-5.078657150268555,-5.066058899402618,-4.678052591323852,-0.25028297758102447,-0.4006045589447025,No,False,Yes,True
Arithmetic,1_digit_multiplication,'',Is 0 times 2 equal to 4?,No,-5.065546035766602,-5.196477890014648,-5.066058899402618,-4.678052591323852,0.0005128636360165473,-0.5184252986907962,Yes,False,Yes,False
Arithmetic,1_digit_addition,'',Is 5 plus 8 equal to 38?,No,-4.931149005889893,-4.373056411743164,-5.066058899402618,-4.678052591323852,0.13490989351272553,0.30499617958068814,No,True,No,True
Arithmetic,1_digit_subtraction,'',Is 4 minus 8 equal to -4?,Yes,-5.477504253387451,-4.803043365478516,-5.066058899402618,-4.678052591323852,-0.41144535398483306,-0.12499077415466342,No,False,No,False
Arithmetic,2_digit_addition,'',Is 29 plus 68 equal to 87?,No,-4.509274005889893,-4.264269828796387,-5.066058899402618,-4.678052591323852,0.5567848935127255,0.4137827625274655,No,True,Yes,False
Arithmetic,2_digit_multiplication,'',Is 84 times 36 equal to 7062?,No,-5.366523742675781,-5.138332843780518,-5.066058899402618,-4.678052591323852,-0.30046484327316314,-0.4602802524566654,No,True,Yes,False
Arithmetic,1_digit_addition,'',Is 3 plus 4 equal to 7?,Yes,-5.080530643463135,-4.773354530334473,-5.066058899402618,-4.678052591323852,-0.014471744060516656,-0.09530193901062045,No,False,Yes,True
Arithmetic,2_digit_multiplication,'',Is 37 times 48 equal to 1776?,Yes,-5.122604370117188,-4.701690196990967,-5.066058899402618,-4.678052591323852,-0.05654547071457028,-0.023637605667114592,No,False,No,False
Arithmetic,1_digit_subtraction,'',Is 4 minus 6 equal to -2?,Yes,-5.73765230178833,-4.938055038452148,-5.066058899402618,-4.678052591323852,-0.671593402385712,-0.26000244712829623,No,False,No,False
Arithmetic,2_digit_subtraction,'',Is 97 minus 66 equal to 31?,Yes,-4.901333332061768,-4.410827159881592,-5.066058899402618,-4.678052591323852,0.16472556734085053,0.2672254314422604,No,False,No,False
Arithmetic,1_digit_subtraction,'',Is 1 minus 0 equal to 1?,Yes,-5.345130920410156,-4.981969356536865,-5.066058899402618,-4.678052591323852,-0.27907202100753814,-0.30391676521301303,No,False,Yes,True
Arithmetic,1_digit_subtraction,'',Is 8 minus 3 equal to 5?,Yes,-5.204710006713867,-4.714053153991699,-5.066058899402618,-4.678052591323852,-0.13865110731124908,-0.036000562667847014,No,False,No,False
Arithmetic,1_digit_addition,'',Is 5 plus 5 equal to 98?,No,-4.918639659881592,-4.297081470489502,-5.066058899402618,-4.678052591323852,0.1474192395210263,0.38097112083435025,No,True,No,True
Arithmetic,1_digit_addition,'',Is 0 plus 5 equal to 1?,No,-5.173883438110352,-4.871968746185303,-5.066058899402618,-4.678052591323852,-0.10782453870773345,-0.19391615486145053,No,True,Yes,False
Arithmetic,1_digit_subtraction,'',Is 6 minus 4 equal to 8?,No,-5.252405643463135,-4.759737491607666,-5.066058899402618,-4.678052591323852,-0.18634674406051666,-0.08168490028381381,No,True,No,True
Arithmetic,2_digit_addition,'',Is 86 plus 78 equal to 164?,Yes,-4.804879665374756,-4.43981409072876,-5.066058899402618,-4.678052591323852,0.26117923402786225,0.23823850059509244,No,False,Yes,True
Arithmetic,2_digit_multiplication,'',Is 95 times 18 equal to 1710?,Yes,-5.309637069702148,-4.759274005889893,-5.066058899402618,-4.678052591323852,-0.24357817029953033,-0.08122141456604037,No,False,No,False
Arithmetic,1_digit_subtraction,'',Is 5 minus 9 equal to -4?,Yes,-5.496195793151856,-4.818668365478516,-5.066058899402618,-4.678052591323852,-0.43013689374923825,-0.14061577415466342,No,False,No,False
