Type,Digits,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,batch_yes_mean,batch_no_mean,calibrated_yes_logprob,calibrated_no_logprob,raw_predicted_answer,raw_is_correct,batchcalib_predicted_answer,batchcalib_is_correct
Arithmetic,2_digit_multiplication,'',Is 15 times 20 equal to 300?,Yes,-5.029815196990967,-4.660827159881592,-5.052054343223571,-4.668956136703491,0.02223914623260459,0.008128976821899059,No,False,Yes,True
Arithmetic,2_digit_subtraction,'',Is 20 minus 51 equal to 906?,No,-5.396200656890869,-4.654709339141846,-5.052054343223571,-4.668956136703491,-0.34414631366729775,0.014246797561645153,No,True,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 4 equal to 6?,Yes,-4.994709491729736,-4.8138108253479,-5.052054343223571,-4.668956136703491,0.05734485149383506,-0.14485468864440953,No,False,Yes,True
Arithmetic,1_digit_multiplication,'',Is 4 times 2 equal to 2?,No,-4.999478340148926,-4.945609092712402,-5.052054343223571,-4.668956136703491,0.052576003074645605,-0.2766529560089115,No,True,Yes,False
Arithmetic,1_digit_addition,'',Is 7 plus 7 equal to 72?,No,-4.866778373718262,-4.498056411743164,-5.052054343223571,-4.668956136703491,0.18527596950530967,0.1708997249603268,No,True,Yes,False
Arithmetic,2_digit_multiplication,'',Is 54 times 51 equal to 2754?,Yes,-5.001380920410156,-4.703272342681885,-5.052054343223571,-4.668956136703491,0.05067342281341514,-0.03431620597839391,No,False,Yes,True
Arithmetic,1_digit_subtraction,'',Is 1 minus 7 equal to -6?,Yes,-5.670491695404053,-5.064085006713867,-5.052054343223571,-4.668956136703491,-0.6184373521804813,-0.39512887001037633,No,False,No,False
Arithmetic,2_digit_subtraction,'',Is 47 minus 38 equal to 9?,Yes,-5.09702730178833,-4.54918909072876,-5.052054343223571,-4.668956136703491,-0.04497295856475869,0.11976704597473109,No,False,No,False
Arithmetic,1_digit_multiplication,'',Is 7 times 8 equal to 77?,No,-5.08921480178833,-4.726153373718262,-5.052054343223571,-4.668956136703491,-0.03716045856475869,-0.05719723701477086,No,True,Yes,False
Arithmetic,2_digit_subtraction,'',Is 27 minus 13 equal to 93?,No,-5.000555038452148,-4.382010459899902,-5.052054343223571,-4.668956136703491,0.05149930477142295,0.2869456768035885,No,True,No,True
Arithmetic,2_digit_subtraction,'',Is 64 minus 25 equal to 67?,No,-5.130575656890869,-4.576584339141846,-5.052054343223571,-4.668956136703491,-0.07852131366729775,0.09237179756164515,No,True,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 5 equal to 16?,No,-4.952715873718262,-4.583368301391602,-5.052054343223571,-4.668956136703491,0.09933846950530967,0.0855878353118893,No,True,Yes,False
Arithmetic,1_digit_addition,'',Is 2 plus 6 equal to 6?,No,-5.002712726593018,-4.82176399230957,-5.052054343223571,-4.668956136703491,0.04934161663055381,-0.15280785560607946,No,True,Yes,False
Arithmetic,2_digit_subtraction,'',Is 51 minus 29 equal to 91?,No,-4.721155643463135,-4.290359020233154,-5.052054343223571,-4.668956136703491,0.3308986997604366,0.37859711647033656,No,True,No,True
Arithmetic,1_digit_subtraction,'',Is 5 minus 2 equal to 5?,No,-5.167178153991699,-4.734092712402344,-5.052054343223571,-4.668956136703491,-0.11512381076812783,-0.0651365756988529,No,True,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 3 equal to 10?,Yes,-5.043581962585449,-4.611961841583252,-5.052054343223571,-4.668956136703491,0.008472380638122168,0.0569942951202389,No,False,No,False
Arithmetic,1_digit_multiplication,'',Is 4 times 6 equal to 24?,Yes,-4.789254665374756,-4.610836505889893,-5.052054343223571,-4.668956136703491,0.2627996778488155,0.05811963081359828,No,False,Yes,True
Arithmetic,2_digit_addition,'',Is 48 plus 96 equal to 144?,Yes,-4.9416279792785645,-4.44762659072876,-5.052054343223571,-4.668956136703491,0.11042636394500693,0.2213295459747311,No,False,No,False
Arithmetic,2_digit_subtraction,'',Is 41 minus 45 equal to 94?,No,-4.8724751472473145,-4.317743301391602,-5.052054343223571,-4.668956136703491,0.17957919597625693,0.3512128353118893,No,True,No,True
Arithmetic,1_digit_multiplication,'',Is 6 times 3 equal to 56?,No,-4.775022506713867,-4.656805038452148,-5.052054343223571,-4.668956136703491,0.2770318365097042,0.012151098251342418,No,True,Yes,False
Arithmetic,1_digit_subtraction,'',Is 7 minus 3 equal to 4?,Yes,-5.226859092712402,-4.735752105712891,-5.052054343223571,-4.668956136703491,-0.17480474948883096,-0.06679596900939977,No,False,No,False
Arithmetic,2_digit_addition,'',Is 26 plus 85 equal to 331?,No,-4.9075608253479,-4.4771904945373535,-5.052054343223571,-4.668956136703491,0.144493517875671,0.19176564216613734,No,True,No,True
Arithmetic,2_digit_addition,'',Is 71 plus 34 equal to 352?,No,-4.735960006713867,-4.432803153991699,-5.052054343223571,-4.668956136703491,0.3160943365097042,0.23615298271179164,No,True,Yes,False
Arithmetic,1_digit_subtraction,'',Is 8 minus 8 equal to 0?,Yes,-5.239665985107422,-4.5638108253479,-5.052054343223571,-4.668956136703491,-0.1876116418838505,0.10514531135559047,No,False,No,False
Arithmetic,1_digit_addition,'',Is 3 plus 1 equal to 4?,Yes,-4.888125419616699,-4.766921520233154,-5.052054343223571,-4.668956136703491,0.16392892360687217,-0.09796538352966344,No,False,Yes,True
Arithmetic,1_digit_subtraction,'',Is 3 minus 7 equal to 88?,No,-5.039617538452148,-4.483019828796387,-5.052054343223571,-4.668956136703491,0.012436804771422949,0.18593630790710414,No,True,No,True
Arithmetic,2_digit_addition,'',Is 13 plus 36 equal to 31?,No,-4.866778373718262,-4.498056411743164,-5.052054343223571,-4.668956136703491,0.18527596950530967,0.1708997249603268,No,True,Yes,False
Arithmetic,1_digit_multiplication,'',Is 3 times 0 equal to 0?,Yes,-4.905860900878906,-4.790647506713867,-5.052054343223571,-4.668956136703491,0.14619344234466514,-0.12169137001037633,No,False,Yes,True
Arithmetic,1_digit_subtraction,'',Is 0 minus 0 equal to 0?,Yes,-5.430219650268555,-4.889241695404053,-5.052054343223571,-4.668956136703491,-0.3781653070449833,-0.22028555870056188,No,False,No,False
Arithmetic,1_digit_multiplication,'',Is 6 times 3 equal to 18?,Yes,-4.902445793151856,-4.846155643463135,-5.052054343223571,-4.668956136703491,0.14960855007171503,-0.1771995067596439,No,False,Yes,True
Arithmetic,1_digit_subtraction,'',Is 0 minus 1 equal to -1?,Yes,-5.695844650268555,-5.09703540802002,-5.052054343223571,-4.668956136703491,-0.6437903070449833,-0.42807927131652956,No,False,No,False
Arithmetic,2_digit_subtraction,'',Is 11 minus 72 equal to 552?,No,-5.2775654792785645,-4.660827159881592,-5.052054343223571,-4.668956136703491,-0.22551113605499307,0.008128976821899059,No,True,No,True
Arithmetic,2_digit_addition,'',Is 78 plus 53 equal to 659?,No,-5.110874652862549,-4.6849751472473145,-5.052054343223571,-4.668956136703491,-0.05882030963897744,-0.016019010543823597,No,True,No,True
Arithmetic,2_digit_addition,'',Is 66 plus 58 equal to 124?,Yes,-4.914254665374756,-4.424990653991699,-5.052054343223571,-4.668956136703491,0.13779967784881553,0.24396548271179164,No,False,No,False
Arithmetic,1_digit_subtraction,'',Is 9 minus 2 equal to 7?,Yes,-5.254519462585449,-4.698450088500977,-5.052054343223571,-4.668956136703491,-0.20246511936187783,-0.029493951797485707,No,False,No,False
Arithmetic,1_digit_multiplication,'',Is 0 times 4 equal to 0?,Yes,-5.316341876983643,-5.078657150268555,-5.052054343223571,-4.668956136703491,-0.2642875337600712,-0.40970101356506383,No,False,Yes,True
Arithmetic,1_digit_multiplication,'',Is 0 times 2 equal to 4?,No,-5.065546035766602,-5.196477890014648,-5.052054343223571,-4.668956136703491,-0.013491692543030176,-0.5275217533111576,Yes,False,Yes,False
Arithmetic,1_digit_addition,'',Is 5 plus 8 equal to 38?,No,-4.931149005889893,-4.373056411743164,-5.052054343223571,-4.668956136703491,0.12090533733367881,0.2958997249603268,No,True,No,True
Arithmetic,1_digit_subtraction,'',Is 4 minus 8 equal to -4?,Yes,-5.477504253387451,-4.803043365478516,-5.052054343223571,-4.668956136703491,-0.4254499101638798,-0.13408722877502477,No,False,No,False
Arithmetic,2_digit_addition,'',Is 29 plus 68 equal to 87?,No,-4.509274005889893,-4.264269828796387,-5.052054343223571,-4.668956136703491,0.5427803373336788,0.40468630790710414,No,True,Yes,False
Arithmetic,2_digit_multiplication,'',Is 84 times 36 equal to 7062?,No,-5.366523742675781,-5.138332843780518,-5.052054343223571,-4.668956136703491,-0.31446939945220986,-0.4693767070770267,No,True,Yes,False
Arithmetic,1_digit_addition,'',Is 3 plus 4 equal to 7?,Yes,-5.080530643463135,-4.773354530334473,-5.052054343223571,-4.668956136703491,-0.02847630023956338,-0.1043983936309818,No,False,Yes,True
Arithmetic,2_digit_multiplication,'',Is 37 times 48 equal to 1776?,Yes,-5.122604370117188,-4.701690196990967,-5.052054343223571,-4.668956136703491,-0.070550026893617,-0.03273406028747594,No,False,No,False
Arithmetic,1_digit_subtraction,'',Is 4 minus 6 equal to -2?,Yes,-5.73765230178833,-4.938055038452148,-5.052054343223571,-4.668956136703491,-0.6855979585647587,-0.2690989017486576,No,False,No,False
Arithmetic,2_digit_subtraction,'',Is 97 minus 66 equal to 31?,Yes,-4.901333332061768,-4.410827159881592,-5.052054343223571,-4.668956136703491,0.1507210111618038,0.25812897682189906,No,False,No,False
Arithmetic,1_digit_subtraction,'',Is 1 minus 0 equal to 1?,Yes,-5.345130920410156,-4.981969356536865,-5.052054343223571,-4.668956136703491,-0.29307657718658486,-0.3130132198333744,No,False,Yes,True
Arithmetic,1_digit_subtraction,'',Is 8 minus 3 equal to 5?,Yes,-5.204710006713867,-4.714053153991699,-5.052054343223571,-4.668956136703491,-0.1526556634902958,-0.04509701728820836,No,False,No,False
Arithmetic,1_digit_addition,'',Is 5 plus 5 equal to 98?,No,-4.918639659881592,-4.297081470489502,-5.052054343223571,-4.668956136703491,0.1334146833419796,0.3718746662139889,No,True,No,True
Arithmetic,1_digit_addition,'',Is 0 plus 5 equal to 1?,No,-5.173883438110352,-4.871968746185303,-5.052054343223571,-4.668956136703491,-0.12182909488678018,-0.20301260948181188,No,True,Yes,False
Arithmetic,1_digit_subtraction,'',Is 6 minus 4 equal to 8?,No,-5.252405643463135,-4.759737491607666,-5.052054343223571,-4.668956136703491,-0.20035130023956338,-0.09078135490417516,No,True,No,True
Arithmetic,2_digit_addition,'',Is 86 plus 78 equal to 164?,Yes,-4.804879665374756,-4.43981409072876,-5.052054343223571,-4.668956136703491,0.24717467784881553,0.2291420459747311,No,False,Yes,True
Arithmetic,2_digit_multiplication,'',Is 95 times 18 equal to 1710?,Yes,-5.309637069702148,-4.759274005889893,-5.052054343223571,-4.668956136703491,-0.25758272647857705,-0.09031786918640172,No,False,No,False
Arithmetic,1_digit_subtraction,'',Is 5 minus 9 equal to -4?,Yes,-5.496195793151856,-4.818668365478516,-5.052054343223571,-4.668956136703491,-0.44414144992828497,-0.14971222877502477,No,False,No,False
Arithmetic,1_digit_addition,'',Is 1 plus 0 equal to 1?,Yes,-5.118129253387451,-4.997594356536865,-5.052054343223571,-4.668956136703491,-0.06607491016387979,-0.3286382198333744,No,False,Yes,True
Arithmetic,2_digit_multiplication,'',Is 88 times 44 equal to 3872?,Yes,-5.158927440643311,-4.738563060760498,-5.052054343223571,-4.668956136703491,-0.10687309741974005,-0.06960692405700719,No,False,No,False
Arithmetic,1_digit_subtraction,'',Is 7 minus 4 equal to 3?,Yes,-5.338459491729736,-4.786562919616699,-5.052054343223571,-4.668956136703491,-0.28640514850616494,-0.11760678291320836,No,False,No,False
Arithmetic,2_digit_subtraction,'',Is 45 minus 45 equal to 0?,Yes,-4.974040985107422,-4.420784950256348,-5.052054343223571,-4.668956136703491,0.07801335811614951,0.2481711864471432,No,False,No,False
Arithmetic,2_digit_multiplication,'',Is 61 times 49 equal to 2989?,Yes,-4.861014366149902,-4.500296592712402,-5.052054343223571,-4.668956136703491,0.19103997707366904,0.1686595439910885,No,False,Yes,True
Arithmetic,2_digit_multiplication,'',Is 87 times 84 equal to 5834?,No,-5.041070938110352,-4.813441753387451,-5.052054343223571,-4.668956136703491,0.010983405113219824,-0.14448561668396032,No,True,Yes,False
Arithmetic,1_digit_subtraction,'',Is 1 minus 6 equal to -5?,Yes,-5.700093746185303,-5.091344356536865,-5.052054343223571,-4.668956136703491,-0.6480394029617313,-0.4223882198333744,No,False,No,False
Arithmetic,1_digit_subtraction,'',Is 2 minus 4 equal to -2?,Yes,-5.819828510284424,-5.210006237030029,-5.052054343223571,-4.668956136703491,-0.7677741670608524,-0.5410501003265384,No,False,No,False
Arithmetic,1_digit_addition,'',Is 1 plus 8 equal to 9?,Yes,-4.922067165374756,-4.678252696990967,-5.052054343223571,-4.668956136703491,0.12998717784881553,-0.009296560287475941,No,False,Yes,True
Arithmetic,1_digit_subtraction,'',Is 3 minus 9 equal to 90?,No,-4.78977632522583,-4.293662071228027,-5.052054343223571,-4.668956136703491,0.2622780179977413,0.3752940654754635,No,True,No,True
Arithmetic,1_digit_addition,'',Is 6 plus 1 equal to 1?,No,-5.126585006713867,-4.757403373718262,-5.052054343223571,-4.668956136703491,-0.0745306634902958,-0.08844723701477086,No,True,Yes,False
Arithmetic,1_digit_addition,'',Is 4 plus 5 equal to 9?,Yes,-4.932093143463135,-4.438796520233154,-5.052054343223571,-4.668956136703491,0.11996119976043662,0.23015961647033656,No,False,No,False
Arithmetic,2_digit_subtraction,'',Is 75 minus 70 equal to 5?,Yes,-5.321812152862549,-4.8322529792785645,-5.052054343223571,-4.668956136703491,-0.26975780963897744,-0.1632968425750736,No,False,No,False
Arithmetic,1_digit_addition,'',Is 2 plus 8 equal to 44?,No,-4.893146991729736,-4.586084842681885,-5.052054343223571,-4.668956136703491,0.15890735149383506,0.08287129402160609,No,True,Yes,False
Arithmetic,1_digit_multiplication,'',Is 3 times 0 equal to 2?,No,-4.90171480178833,-5.032835006713867,-5.052054343223571,-4.668956136703491,0.1503395414352413,-0.36387887001037633,Yes,False,Yes,False
Arithmetic,1_digit_multiplication,'',Is 1 times 0 equal to 0?,Yes,-4.950729370117188,-4.954624652862549,-5.052054343223571,-4.668956136703491,0.101324973106383,-0.285668516159058,Yes,True,Yes,True
Arithmetic,1_digit_multiplication,'',Is 5 times 9 equal to 92?,No,-4.8334126472473145,-4.52575159072876,-5.052054343223571,-4.668956136703491,0.21864169597625693,0.1432045459747311,No,True,Yes,False
Arithmetic,1_digit_multiplication,'',Is 0 times 6 equal to 6?,No,-5.12917947769165,-5.138912677764893,-5.052054343223571,-4.668956136703491,-0.077125134468079,-0.4699565410614017,Yes,False,Yes,False
