Type,Digits,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,batch_yes_mean,batch_no_mean,calibrated_yes_logprob,calibrated_no_logprob,raw_predicted_answer,raw_is_correct,batchcalib_predicted_answer,batchcalib_is_correct
Arithmetic,2_digit_multiplication,'',Is 15 times 20 equal to 300?,Yes,-5.029815196990967,-4.660827159881592,-5.027097606658936,-4.632443237304687,-0.0027175903320308947,-0.028383922576904475,No,False,Yes,True
Arithmetic,2_digit_subtraction,'',Is 20 minus 51 equal to 906?,No,-5.396200656890869,-4.654709339141846,-5.027097606658936,-4.632443237304687,-0.36910305023193324,-0.02226610183715838,No,True,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 4 equal to 6?,Yes,-4.994709491729736,-4.8138108253479,-5.027097606658936,-4.632443237304687,0.032388114929199574,-0.18136758804321307,No,False,Yes,True
Arithmetic,1_digit_multiplication,'',Is 4 times 2 equal to 2?,No,-4.999478340148926,-4.945609092712402,-5.027097606658936,-4.632443237304687,0.02761926651001012,-0.313165855407715,No,True,Yes,False
Arithmetic,1_digit_addition,'',Is 7 plus 7 equal to 72?,No,-4.866778373718262,-4.498056411743164,-5.027097606658936,-4.632443237304687,0.16031923294067418,0.13438682556152326,No,True,Yes,False
Arithmetic,2_digit_multiplication,'',Is 54 times 51 equal to 2754?,Yes,-5.001380920410156,-4.703272342681885,-5.027097606658936,-4.632443237304687,0.025716686248779652,-0.07082910537719744,No,False,Yes,True
Arithmetic,1_digit_subtraction,'',Is 1 minus 7 equal to -6?,Yes,-5.670491695404053,-5.064085006713867,-5.027097606658936,-4.632443237304687,-0.6433940887451168,-0.43164176940917987,No,False,No,False
Arithmetic,2_digit_subtraction,'',Is 47 minus 38 equal to 9?,Yes,-5.09702730178833,-4.54918909072876,-5.027097606658936,-4.632443237304687,-0.06992969512939418,0.08325414657592756,No,False,No,False
Arithmetic,1_digit_multiplication,'',Is 7 times 8 equal to 77?,No,-5.08921480178833,-4.726153373718262,-5.027097606658936,-4.632443237304687,-0.062117195129394176,-0.0937101364135744,No,True,Yes,False
Arithmetic,2_digit_subtraction,'',Is 27 minus 13 equal to 93?,No,-5.000555038452148,-4.382010459899902,-5.027097606658936,-4.632443237304687,0.026542568206787465,0.250432777404785,No,True,No,True
Arithmetic,2_digit_subtraction,'',Is 64 minus 25 equal to 67?,No,-5.130575656890869,-4.576584339141846,-5.027097606658936,-4.632443237304687,-0.10347805023193324,0.05585889816284162,No,True,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 5 equal to 16?,No,-4.952715873718262,-4.583368301391602,-5.027097606658936,-4.632443237304687,0.07438173294067418,0.04907493591308576,No,True,Yes,False
Arithmetic,1_digit_addition,'',Is 2 plus 6 equal to 6?,No,-5.002712726593018,-4.82176399230957,-5.027097606658936,-4.632443237304687,0.024384880065918324,-0.189320755004883,No,True,Yes,False
Arithmetic,2_digit_subtraction,'',Is 51 minus 29 equal to 91?,No,-4.721155643463135,-4.290359020233154,-5.027097606658936,-4.632443237304687,0.30594196319580114,0.342084217071533,No,True,No,True
Arithmetic,1_digit_subtraction,'',Is 5 minus 2 equal to 5?,No,-5.167178153991699,-4.734092712402344,-5.027097606658936,-4.632443237304687,-0.14008054733276332,-0.10164947509765643,No,True,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 3 equal to 10?,Yes,-5.043581962585449,-4.611961841583252,-5.027097606658936,-4.632443237304687,-0.016484355926513317,0.02048139572143537,No,False,No,False
Arithmetic,1_digit_multiplication,'',Is 4 times 6 equal to 24?,Yes,-4.789254665374756,-4.610836505889893,-5.027097606658936,-4.632443237304687,0.23784294128418004,0.021606731414794744,No,False,Yes,True
Arithmetic,2_digit_addition,'',Is 48 plus 96 equal to 144?,Yes,-4.9416279792785645,-4.44762659072876,-5.027097606658936,-4.632443237304687,0.08546962738037145,0.18481664657592756,No,False,No,False
Arithmetic,2_digit_subtraction,'',Is 41 minus 45 equal to 94?,No,-4.8724751472473145,-4.317743301391602,-5.027097606658936,-4.632443237304687,0.15462245941162145,0.31469993591308576,No,True,No,True
Arithmetic,1_digit_multiplication,'',Is 6 times 3 equal to 56?,No,-4.775022506713867,-4.656805038452148,-5.027097606658936,-4.632443237304687,0.2520750999450687,-0.024361801147461115,No,True,Yes,False
