question,A,B,C,D,answer
"Two events A and B each have a nonzero probability. If A and B are independent, which of the following statements is true?",(A) P(A and B) = P(A) · P(B),(B) A and B may or may not be mutually exclusive.,(C) A and B must be mutually exclusive.,(D) P(A| B) = P(B| A),A
"A certain radioactive material has a half-life of 36 minutes. Starting with 10.00 grams of this material, how many grams will be left after 2 hours?",(A) 1.00 grams,(B) 1.5 × 10^-4 grams,(C) 3.33 grams,(D) 0.25 gram,A
"Statement 1 | If T: V -> W is a linear transformation and dim(V ) < dim(W) < 1, then T must be injective. Statement 2 | Let dim(V) = n and suppose that T: V -> V is linear. If T is injective, then it is a bijection.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",A
"Statement 1 | In a finite dimensional vector space every linearly independent set of vectors is contained in a basis. Statement 2 | If B_1 and B_2 are bases for the same vector space, then |B_1| = |B_2|.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",A
A sorted list of numbers contains 500 elements. Which of the following is closest to the maximum number of list elements that will be examined when performing a binary search for a value in the list?,(A) 10,(B) 50,(C) 250,(D) 500,A
Hemoglobin is a molecule that binds to both O2 and CO2. There is an allosteric relationship between the concentrations of O2 and CO2. Hemoglobin's affinity for O2,(A) decreases as blood pH decreases,(B) increases as H+ concentration increases,(C) increases in exercising muscle tissue,(D) decreases as CO2 concentration decreases,A
The 13C chemical shifts of benzene and chloroform are 128.4 ppm and 77.2 ppm respectively. What is the difference in the 13C NMR frequencies of the two compounds on a 600 MHz spectrometer?,(A) 7.73 kHz,(B) 30.7 kHz,(C) 91.6 kHz,(D) 122 kHz,A
The direction of natural processes is from states of,(A) higher order to lower order,(B) lower order to higher order,(C) disorganization to organization,(D) disorder to equilibrium,A
Malik has 240 CDs. He sorted them into 12 equal groups. Which expression shows how to find the number of CDs in each group?,(A) 240 ÷ 12,(B) 240 – 12,(C) 240 + 12,(D) 240 × 12,A
An object carries a charge of –1 C. How many excess electrons does it contain?,(A) 6.25 × 10^18,(B) 8.00 × 10^18,(C) 1.60 × 10^19,(D) 3.20 × 10^19,A
"When you brush your hair and scrape electrons from your hair, the charge of your hair becomes",(A) positive,(B) negative,(C) Both of these,(D) Neither of these,A
The period of a 10-Hz wave is,(A) 1/10 s,(B) 1.0 s,(C) 10 s,(D) None of these,A
The IP protocol is primarily concerned with,(A) Routing packets through the network,(B) Reliable delivery of packets between directly connected machines,(C) Reliable delivery of large (multi-packet) messages between machines that are not necessarily directly connected,(D) Dealing with differences among operating system architectures,A
"A 3-way, set-associative cache is",(A) one in which each main memory word can be stored at any of 3 cache locations,(B) effective only if 3 or fewer processes are running alternately on the processor,(C) possible only with write-back,(D) faster to access than a direct-mapped cache,A
"Joe and Mike both ran the samerace. Joe finished the race 4 minutes before Mike. If Mike finished the race at 4:02 p.m., what time did Joe finish the race?",(A) 3:58 p.m.,(B) 4:06 p.m.,(C) 8:02 p.m.,(D) 12:02 p.m.,A
"Statement 1 | If a group has an element of order 15 it must have at least 8 elements of order 15. Statement 2 | If a group has more than 8 elements of order 15, it must have at least 16 elements of order 15.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",A
Which of the following indicates that a reaction is spontaneous?,(A) at equilibrium there are more products than reactants,(B) the value of ΔG° is greater than zero,(C) the value of ΔS° is greater than zero,(D) the value of Keq is less than one,A
"For polynomial regression, which one of these structural assumptions is the one that most affects the trade-off between underfitting and overfitting:",(A) The polynomial degree,(B) Whether we learn the weights by matrix inversion or gradient descent,(C) The assumed variance of the Gaussian noise,(D) The use of a constant-term unit input,A
Which of the following can only be used when training data are linearly separable?,(A) Linear hard-margin SVM.,(B) Linear Logistic Regression.,(C) Linear Soft margin SVM.,(D) The centroid method.,A
Find all positive values of $c$ so that the inequality $x^2-6x+c<0$ has real solutions for $x$. Express your answer in interval notation.,"(A) (0, 9)","(B) (1, 1)","(C) (6, 0)","(D) (6, 6)",A
"Mules are relatively long-lived and hardy organisms that cannot, generally speaking, perform successful meiosis. Consequently, which statement about mules is true?",(A) They have a relative evolutionary fitness of zero.,(B) Their offspring have less genetic variation than the parents.,(C) Mutations cannot occur in their genomes.,"(D) If crossing-over happens in mules, then it must be limited to prophase of mitosis.",A
"The Mills Library has 1,007,199 books. The Springvale Library has 907,082 books. Which of the following is the best estimate of how many more books the Mills Library has than the Springvale Library?","(A) 100,000 books","(B) 80,000 books","(C) 10,000 books","(D) 8,000 books",A
Refer to question 15 for details on the squirrel population. Which of the following conditions is required to keep this population in Hardy-Weinberg equilibrium?,(A) Random mating,(B) Genetic drift,(C) Mutation,(D) Gene flow,A
"Let f(x,y) = x^2 - 2xy + y^3 for all real x and y. Which of the following is true?",(A) f has all of its relative extrema on the line x = y.,(B) f has all of its relative extrema on the parabola x = y^2.,"(C) f has a relative minimum at (0, 0).","(D) f has an absolute minimum at (2/3, 2/3).",A
Find 1 over 6 + 1 over 8.,(A) 7 over 24,(B) 2 over 14,(C) 1 over 7,(D) 1 over 4,A
Statement 1 | The homomorphic image of a cyclic group is cyclic. Statement 2 | The homomorphic image of an Abelian group is Abelian.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",A
