question,A,B,C,D,answer,source_file
Which of the following movements was founded by Mordechai Kaplan?,(A) Liberal Judaism,(B) Reform Judaism,(C) Conservative Judaism,(D) Reconstructionist Judaism,D,world_religions_processed.csv
Aquinas argues that the end of every action is:,(A) some desire.,(B) some pleasure.,(C) some good.,(D) some emotional state.,C,philosophy_processed.csv
"This question refers to the following information.""The substitution of Plato for the scholastic Aristotle was hastened by contact with Byzantine scholarship. Already at the Council of Ferrera (1438), which nominally reunited the Eastern and Western churches, there was a debate in which the Byzantines maintained the superiority of Plato to Aristotle. Cosimo and Lorenzo de Medici were both addicted to Plato; Cosimo founded and Lorenzo continued the Florentine Academy, which was largely devoted to the study of Plato&…The humanists of the time, however, were too busy acquiring knowledge of antiquity to be able to produce anything of value.""Bertrand Russell, British philosopher, History of Western Philosophy, 1946In what way does this passage best exemplify the view of twentieth-century philosophers and thinkers?","(A) Faced with an unprecedented number of social and technological changes, the twentieth century embraced innovation as one of the most valued characteristics of life.","(B) Overwhelmed by the unprecedented number of social and technological changes, the twentieth century sought refuge in the longstanding traditions of the past.","(C) After the devastation of World Wars I and II erased the possibility of finding a unified meaning to life, philosophers occupied themselves with finding small differences between the philosophies of past thinkers.",(D) Nihilists typically find ways to doubt the postulations of those who came before them.,A,high_school_european_history_processed.csv
Which philosopher called the idea of natural rights 'nonsense on stilts'?,(A) Alan Gerwith,(B) Emmanuel Kant,(C) John Locke,(D) Jeremy Bentham,D,international_law_processed.csv
 Select the best translation into predicate logic. All children go to some school. (Cx: x is a child; Sx: x is a school; Gxy: x goes to y),(A) (∀x)(∃y)[(Cx • Sy) • Gxy),(B) (∀x)[Sx ⊃ (∃y)(Cy • Gxy)],(C) (∀x)[Cx ⊃ (∃y)(Sy • Gxy)],(D) (∀x)[Sx • (∃y)(Cy • Gxy)],C,formal_logic_processed.csv
" In Jainism, what is the cycle that one must liberate oneself from?",(A) Punya,(B) Samsara,(C) Samayika,(D) Jiva,B,world_religions_processed.csv
"This question refers to the following information.Although in Protestant Europe, [Peter the Great] was surrounded by evidence of the new civil and political rights of individual men embodied in constitutions, bills of rights and parliaments, he did not return to Russia determined to share power with his people. On the contrary, he returned not only determined to change his country but also convinced that if Russia was to be transformed, it was he who must provide both the direction and the motive force. He would try to lead; but where education and persuasion were not enough, he could drive—and if necessary flog—the backward nation forward.—Robert K. Massie, Peter the Great: His Life and WorldWhen Peter the Great ruled Russia, he continued the practice of which of the following?",(A) Decentralization of power,(B) Isolationism,(C) Serfdom,(D) Reform,C,high_school_world_history_processed.csv
Machu Picchu was built in the mountains as a:,(A) defensive stronghold.,(B) shrine to the Inca rain god.,(C) relaxing getaway for elites.,(D) astronomical observatory.,C,prehistory_processed.csv
Who is a 'persistent objector'?,(A) The State which persistently objects to the rule in question after its formation,(B) The State which denies to be bound by the rule in question for a short period,(C) The State which persistently and publicly objects to the formation of a rule of customary law from its outset,(D) The State which accepts the formation of a rule of customary law but it retains objections as to its content,C,international_law_processed.csv
"According to Wolf, a moral saint:",(A) cannot read Victorian novels.,(B) cannot have a sarcastic wit.,(C) cannot have an interest in gourmet cooking.,(D) all of the above.,B,philosophy_processed.csv
"In Aristotle’s view, the virtues are:",(A) acquired through habit.,(B) acquired through philosophical reflection.,(C) a gift from the gods.,(D) innate.,A,philosophy_processed.csv
" Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)T ∨ UW · T / U",(A) Valid,(B) Invalid. Counterexample when T and W are true and U is false,(C) Invalid. Counterexample when T is true and W and U are false,(D) Invalid. Counterexample when W is true and T and U are false,B,formal_logic_processed.csv
"Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)E ⊃ (F ∨ ~G)F ⊃ (~E ∨ ~G) / ~(E ≡ F)",(A) Valid,"(B) Invalid. Counterexample when E, F, and G are true",(C) Invalid. Counterexample when E and F are true and G is false,"(D) Invalid. Counterexample when E, F, and G are false",C,formal_logic_processed.csv
