question,A,B,C,D,answer,source_file
What were the implications of the Cold War for American exceptionalism?,(A) It ended the influence of American exceptionalism entirely,(B) Exceptionalism was enhanced by America's status as the 'leader of the free world',(C) The extension of American power globally challenged core assumptions of exceptionalism,(D) Both b and c,D,us_foreign_policy_processed.csv
Your client has asked you to develop a public relations campaign to promote a college tuition savings program using new technologies. What is the most appropriate first step?,(A) Research pricing and development costs for different services.,(B) Develop a survey to discover which factors impact families' savings.,(C) Conduct a situation analysis to gain a better understanding of the issue.,(D) Hold a focus group to determine which messages are most effective for the program.,C,public_relations_processed.csv
The multiplier effect is,(A) the addition of non-basic workers to an urban economy that has added more basic workers.,(B) a ratio of urban to rural workers in an economy.,(C) the ratio of city workers to farm workers in an economy.,(D) the addition of rural jobs created by the urban economy.,A,high_school_geography_processed.csv
"When a negative externality exists as the result of the production of a good, the socially optimal quantity of output could be achieved by",(A) free market capitalism,(B) placing limits on the quantity that can be produced,(C) government purchases of the good,(D) setting a minimum on the quantity that can be produced,B,high_school_microeconomics_processed.csv
What is the most important disadvantage of the diagonal VECH approach to building multivariate GARCH models that is overcome by the BEKK formulation?,(A) The diagonal VECH model is hard to interpret intuitively,(B) The diagonal VECH model contains too many parameters,(C) The diagonal VECH model does not ensure a positive-definite variance-covariance matrix,(D) The BEKK model reduces the dimensionality problem that arises when a number of series are modelled together.,C,econometrics_processed.csv
Intergovernmental organizations SELDOM do which of the following?,(A) Provide strong enforcement,(B) Monitor parties,(C) Provide fora for discussion,(D) Reduce transaction costs for agreements,A,us_foreign_policy_processed.csv
Which of the following could limit the ability of a central bank to conduct expansionary monetary policy?,(A) Money demand is nearly perfectly elastic.,(B) Investment demand is nearly perfectly elastic.,(C) Banks make loans with all excess reserves.,(D) Households carry very little cash holding their money in checking and saving deposits.,A,high_school_macroeconomics_processed.csv
In what ways can the different relationship between US and European security studies be explained?,"(A) The different relationship to the concept of security: in Europe the debate has stayed as part of politico-self-reflection of the scholar who 'does security;' whereas in the US, the question of the concept of security is seen at the most a necessary 'define your' terms' operation.","(B) The different relationship to the exact form of knowledge that is valued. The US is more rationalist, Europe the more reflectivist. In the US security studies debate hypothesis is typically examined as cause-effect relationships, tied into general debates and with measurement of ideational variables.","(C) In the US major competing explanations emphasized, on the one hand, the US's liberal hegemony, and, on the other hand, the purely power based stability of presumed unipolarity in which balancing becomes impossible.",(D) All of these options.,D,security_studies_processed.csv
You are told that the income elasticity for DVDs is + 1.5. This means that,(A) a 10 percent increase in income produces a 15 percent increase in consumption of DVDs. DVDs are a normal luxury good.,(B) a 10 percent increase in income produces a 15 percent increase in consumption of DVDs. DVDs are an inferior good.,(C) a 10 percent increase in income produces a 15 percent decrease in consumption of DVDs. DVDs are an inferior good.,(D) a 10 percent increase in the price of DVDs produces a 15 percent decrease in consumption of DVDs. DVDs are a price elastic good.,A,high_school_microeconomics_processed.csv
How much has the number of practitioners working in consultancies in the UK grown since 25 years ago?,(A) It hasn't,(B) Doubled,(C) Tripled,(D) Quadrupled,C,public_relations_processed.csv
Psychographics refers to,"(A) individual values, lifestyles and characteristics","(B) individual sex, age, race and income statistics",(C) potential influence,(D) all of the above,A,public_relations_processed.csv
The pacf is necessary for distinguishing between,(A) An AR and an MA model,(B) An AR and an ARMA model,(C) An MA and an ARMA model,(D) Different models from within the ARMA family,B,econometrics_processed.csv
"If the Engle-Granger test is applied to the residuals of a potentially cointegrating regression, what would be the interpretation of the null hypothesis?",(A) The variables are cointegrated,(B) The variables are not cointegrated,(C) Both variables are stationary,(D) Both variables are non-stationary,B,econometrics_processed.csv
What is the main purpose of licensing public relations practitioners?,(A) To regulate access to posts in the field,(B) To create an elite of public relations practitioners,(C) To preserve the well-being of society,(D) To achieve better wages for licensed practitioners,C,public_relations_processed.csv
