"question","A","B","C","D","answer"
" What can murtis be translated as?","(A) Offerings","(B) Prayers","(C) Apparitions","(D) Idols","D"
" Naturalists who concentrated on natural elements and processes are associated with which of the following?","(A) Daoism","(B) Yin-Yang School","(C) Mengzi","(D) Humanistic Buddhism","B"
" When was the first Buddhist temple constructed in Japan?","(A) 325 CE","(B) 119 CE","(C) 451 CE","(D) 596 CE","D"
" What is the name of the ten day New Year festival that celebrated Babylon's culture?","(A) Akitu","(B) Wag and Thoth","(C) Bast","(D) Nehebkau","A"
"Which of the following terms denote the Japanese art of flower arranging?","(A) Zazen","(B) Tariki","(C) Kami","(D) Ikebana","D"
" Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following?","(A) Harmony and balance","(B) Devotion and piety","(C) Love and passion","(D) Goodwill and love","A"
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?","(A) Shabad","(B) Khalse","(C) Nam","(D) Guru","A"
"What is the mi'raj?","(A) Muhammad's miraculous ascent to heaven","(B) Muhammad's migration to Mecca","(C) Muhammad's first community in Mecca","(D) Muhammad's revelations of the Qur'an","A"
"What is the name of the most famous dharmashastras, which probably dates from around the first century?","(A) Laws of Dharma","(B) Laws of Karma","(C) Laws of Vishnu","(D) Laws of Manu","D"
"What does the term ""Qur'an"" literally mean?","(A) The Holy Book","(B) The Narrative","(C) The Recitation","(D) The Pillars","C"
" Mani referred to God by which of the following names?","(A) Mother of Light","(B) Father of Goodness","(C) Ineffable Lover","(D) Eternal Spirit","B"
" Which tradition is known to promote ""gradual enlightenment""?","(A) Bushido","(B) Shinto","(C) Nichiren","(D) Soto Zen","D"
"What is the communal meal offered at the place of worship called in Sikhism?","(A) Sangat","(B) Langar","(C) Gurdwara","(D) Panth","B"
"To which tradition do the anti-Han rebel group known as the Celestial Masters belong?","(A) Buddhism","(B) Daoism","(C) Confucianism","(D) Shamanism","B"
"What does the word ""Islam"" mean in Arabic?","(A) Worship","(B) Submission","(C) Obedience","(D) Faith","B"
"What does the term anatman mean?","(A) Suffering","(B) Soul","(C) Impermanence","(D) No-self","D"
" What genre of Sikh literature is denoted by the term janam-sakhis?","(A) Spiritual narratives","(B) Redemption narratives","(C) Birth narratives","(D) Theological narratives","C"
"Pure Land Buddhism belongs to which school?","(A) Vajrayana","(B) Theravada","(C) Mahayana","(D) Mahavira","C"
" Which Jaina group only allows women to lead a life of semi-renunciation?","(A) Svetambara","(B) Jina","(C) Agama","(D) Digambara","D"
"What is the most important prayer in Judaism?","(A) The Shema","(B) The Sefirot","(C) Deuteronomy","(D) The Decalogue","A"
" The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?","(A) Brahminic orthodoxy","(B) Legalistic asceticism","(C) Bhakti devotionals","(D) Unorthodox practices","A"
" Which early battle led to the conversion of Mecca?","(A) The Battle of Uhud","(B) The Battle of Camel","(C) The Battle of the Trench","(D) The Battle of Badr","C"
" What interior discipline must be adopted to achieve spiritual liberation within Sikhism?","(A) Remembering the Divine Name","(B) Meditating on the sacred hymns","(C) Remembering that death is inevitable","(D) Meditating on the goodness of the created world","A"
" During Japan's occupation of Korea (1910-1945), which of the following was imposed upon the Koreans?","(A) Confucianism","(B) Buddhism","(C) Christianity","(D) Daoism","A"
"What is the meaning of the Punjabi word ""Sikh""?","(A) Disciple","(B) Faithful","(C) Devotee","(D) Enlightened","A"
" Which of the following shuns politics?","(A) The sages of the Zhuangzi","(B) The Songs of the South","(C) The Duke of Zhou","(D) The Confucian ""sage kings""","A"
"What does the Hebrew word mashiach mean?","(A) Anointed one","(B) God","(C) Prophet","(D) The line of David","A"
"According to Jaina traditions, what does the term ajiva mean?","(A) Soul","(B) Sound","(C) Non-matter","(D) Non-soul","D"
" In the Japanese Zen tradition, what is zazen?","(A) A collection of statues","(B) Veneration of ancestors","(C) Seated meditation","(D) Funeral rituals","C"
" What is a central component of tantric Buddhism?","(A) Asceticism","(B) Bodily pleasure","(C) Music","(D) Sexual union","D"
" How does the Egyptian composition Ludul Bel Nemequi (""I will praise the Lord of wisdom) portray Marduk?","(A) Loving and forgiving","(B) Wrathful and merciful","(C) Judging and vengeful","(D) Transcendent and immanent","B"
" After the Bar Kochba revolt, where were the two main centres for Jewish development?","(A) Palestine and Babylonia","(B) Babylonia and Europe","(C) Palestine and Spain","(D) Spain and France","A"
" In addition to Jainism, which other tradition began as a world-renouncing movement?","(A) Buddhism","(B) Hinduism","(C) Judaism","(D) Islam","A"
"According to Hindu tradition, which age are we in currently?","(A) Kali yuga","(B) Maha yuga","(C) Krita yuga","(D) Satya yuga","A"
" In the Zoroastrian tradition, the term Gathas refers to which of the following?","(A) Hymns","(B) Laws","(C) Ethics","(D) Myths","A"
"Which form of Buddhism taught the only hope for salvation was in the saving grace of Amida?","(A) Pure Land","(B) Tendai","(C) Shingon","(D) Soto Zen","A"
" According to Hindu tradition, who is considered to be the ideal wife?","(A) Sita","(B) Rama","(C) Kali","(D) Durga","A"
"Who is the woman mystic who exemplified the all-consuming love of the divine?","(A) Rumi","(B) Rabi'a","(C) Fatimah","(D) Khadija","B"
" Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?","(A) Andal","(B) Devi","(C) Ganga","(D) Kali","A"
" Who is associated with the stigmata and preaching to birds?","(A) Paul of Tarsus","(B) Clare of Assisi","(C) Francis of Assisi","(D) John of the Cross","C"
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?","(A) Epistemology","(B) Morality","(C) Religion","(D) Aesthetics","B"
" Which Christian denomination promotes a stripped-down Christianity?","(A) Greek Orthodox","(B) Roman Catholic","(C) Puritans","(D) Quakers","D"
" Rome claimed that their bishop (pope) was the director successor of which leader?","(A) Peter","(B) Paul","(C) Jesus","(D) Matthew","A"
"When was the current Dalai Lama born?","(A) 1935","(B) 2000","(C) 1965","(D) 1975","A"
" According to Jaina traditions, who were the caityavasis?","(A) Householders who supported renouncers","(B) Orthodox interpreters of the scriptures","(C) Women ascetics who lived in communities","(D) Temple-dwelling renouncers","D"
"Zhuangzi describes a state as ziran, which means which of the following?","(A) Thoughtfulness","(B) Non-action","(C) Spontaneity","(D) Meditation","C"
" The mudras, which are an important feature of Buddhist art, are also known as what?","(A) hand gestures","(B) saints","(C) religious clothing","(D) temples","A"
" The Maccabean Revolt is associated with which ruler?","(A) Julius Caesar","(B) Alexander the Great","(C) Cyrus of Persia","(D) Antiochus IV Epiphanes","D"
" How old was Guru Nanak when he started to preach the message of the divine Name?","(A) 30","(B) 40","(C) 33","(D) 52","A"
"The widely adored Egyptian goddess Hathor was depicted as which of the following?","(A) Serpent","(B) Eagle","(C) Cheetah","(D) Cow","D"
"What does the phrase Guru-Panth mean within the Sikh traditions?","(A) Community","(B) Scripture","(C) Worship","(D) Apprenticeship","A"
" After what event did the Rabbinical period begin within Judaism?","(A) Construction of the Second Temple","(B) Destruction of the Second Temple","(C) The Christianization of the Roman Empire","(D) The emergence of Islam","B"
"Which monk developed Pure Land Buddhism as we know it today?","(A) Genshin","(B) Dogen","(C) Honen","(D) Shinran","C"
"Which is the largest Muslim country in the world with more than 200 million adherents?","(A) Pakistan","(B) Iraq","(C) Indonesia","(D) Turkey","C"
"Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?","(A) Gregory","(B) Augustine","(C) Athanasius","(D) Francis","A"
"Which of the following does the term ""Arhats"" refer to?","(A) Enlightened being","(B) Worthy ones","(C) Saintly ones","(D) Sages","A"
"Which Guru was martyred when he refused to embrace Islam?","(A) Guru Ram Das","(B) Guru Tegh Bahadur","(C) Guru Gobind Singh","(D) Guru Har Rai","B"
" Which Guru donned the two swords symbolling temporal and spiritual authority?","(A) Guru Nanak","(B) Guru Arjan","(C) Guru Hargobind","(D) Guru Ram Das","C"
" Where is the key to liberation found within Sikhism?","(A) In the community","(B) In faith in God","(C) In ascetic renunciation","(D) In the life of the householder","D"
"Which is one of the most fundamental themes of Japanese culture and civilization?","(A) God is eternal and merciful to those who offer worship","(B) Humans can align themselves with life energy through worship of kami","(C) Justice will be the final outcome in the next world","(D) Power and force are the most divine attributes","A"
" Which goddess is worshipped during the festival of Divali?","(A) Durga","(B) Sri Lakshmi","(C) Kali","(D) Mahavira","B"
" Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?","(A) China","(B) Silla","(C) Goguryeo","(D) Joseon","B"
" To whom is the Yoga Sutras attributed?","(A) Madhva","(B) Patanjali","(C) Ramanuja","(D) Aryabhatta","B"
" Which of the following does NOT describe the Ka'ba?","(A) It was visited by Moses.","(B) It is a haram.","(C) It was built by Abraham.","(D) It is a square building.","A"
"Which elephant-headed Hindu deity is often described as the most beloved?","(A) Parvati","(B) Ganesha","(C) Vishnu","(D) Sita","B"
"Sacred literature originated with which of the following jina?","(A) Sri Lakshmi","(B) Mahavira","(C) Rsabha","(D) Nanak","C"
" Who is the author of Admonitions for Women?","(A) Ban Zhao","(B) Laozi","(C) Menicus","(D) Liu Xiang","A"
"How many female renouncers were under the tutelage of Chandanbala?","(A) 36,000","(B) 12,000","(C) 24,000","(D) 7,000","A"
"According to the Sikh tradition, the Mul Mantar illuminates the nature of what?","(A) Ultimate Reality","(B) The gurus","(C) The community","(D) Sikh worship","A"
" What term refers the divine order as an ell-embracing higher principle in Sikhism?","(A) Sansar","(B) Hukam","(C) Mantar","(D) Karam","B"
" How many books are in the New Testament?","(A) 30","(B) 29","(C) 27","(D) 47","C"
"Which form of Buddhism focuses on social engagement that attracts lay participation?","(A) Zen Buddhism","(B) Chan Buddhism","(C) Humanistic Buddhism","(D) Pure Land Buddhism","C"
" What was one of the distinctive beliefs or practices of the southerners (Digambara)?","(A) They worshipped exclusively outside of the temple","(B) They believed that nakedness was an elemental expression of non-attachment","(C) They included women within the ranks of the leadership","(D) They believed that the omniscient Jina must eat and sleep","B"
"The central prayer in Jainism is known by which of the following names?","(A) Namokar Mantra","(B) The Liberation Mantra","(C) Ahimsa","(D) Archaryas","A"
"When did the first Jaina temples appear?","(A) Second century CE","(B) Fifth century CE","(C) Fifth century BCE","(D) Eighteenth century CE","B"
"How many Jinas have appeared during our age?","(A) 7","(B) 42","(C) 24","(D) 13","C"
"The title Dalai Lama means which of the following?","(A) Ocean of Love","(B) Lover of Wisdom","(C) Ocean of Wisdom","(D) Stillness of Love","C"
"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?","(A) Parvati","(B) Sita","(C) Sri (Lakshmi)","(D) Sarasvati","C"
"What is bhakti often translated as?","(A) Gods","(B) Yoga","(C) Devotion","(D) Religion","C"
" Which Hindu god or goddess is speech incarnate, the power of the word, and the mother of the Vedas?","(A) Vishnu","(B) Ganesha","(C) Sarasvati","(D) Indra","C"
" What is the name of the Jewish prayer used for mourning since the Middle Ages?","(A) The Shema","(B) The Kaddish","(C) The K'nesset","(D) The Kippah","B"
"Krishna and Rama are incarnations of which Hindu god?","(A) Shiva","(B) Vishnu","(C) Brahma","(D) Ganesha","B"
" The kshatriyas is the caste name assigned to which group?","(A) Priests","(B) Servants","(C) Rulers, warriors","(D) Merchants","C"
"When was the Old Babylonian version of Gilgamesh modified into the standard version?","(A) Toward the end of the first millennium BCE","(B) Towards the middle of the first millennium BCE","(C) Toward the end of the second millennium BCE","(D) Toward the middle of the second millennium BCE","C"
" What is the meaning ofsamyak jnanawithin the Jaina traditions?","(A) Correct knowledge","(B) Correct practice","(C) Correct intiution","(D) Correct belief","C"
" What type of Buddhist organization is the Bodu Bala Sena?","(A) Activist and militant organization in Sri Lanka","(B) Ecumenical organization in India","(C) Modern organization in the United States","(D) Peacekeeping organization in Japan","A"
"Which mystic believed that evil was a distortion that reveals divine love more clearly?","(A) Julian of Norwich","(B) Catherine of Siena","(C) Teresa of Avila","(D) John of the Cross","A"
"In the Jaina traditions ""bad karma"" is known by which of the following terms?","(A) Paap","(B) Punya","(C) Pudgala","(D) Akash","A"
" During what Japanese festival do the spirits of deceased family members return to receive ritual offerings of food made by their loved ones?","(A) Obon","(B) Mikoshi","(C) Omizutori","(D) Tanabata","A"
"What does ""Mahavira"" mean?","(A) ""Great Hero""","(B) ""Master""","(C) ""The Lesser One""","(D) ""Mendicant""","A"
" What does the Tripitaka mean?","(A) Three gems","(B) Three baskets","(C) Three bodhisattvas","(D) Three buddhas","B"
"Where is the largest network of Confucian shrines in the world?","(A) Indonesia","(B) China","(C) Korea","(D) Singapore","C"
" Ghosa, Apala and Lopamurda, all named in the early Vedas, are which of the following?","(A) Female princesses","(B) Female warriors","(C) Female goddesses","(D) Female poets","D"
" What is the title for the religious and administrative leaders who succeeded the Prophet?","(A) Rasul","(B) Nabi","(C) Caliph","(D) Mahdi","C"
"Which of the following is NOT included in the Islamic understanding of jurisprudence?","(A) Consensus","(B) Personal reasoning","(C) Interpretation","(D) Divine inspiration","D"
"Why is Mahavira a significant person in the Jaina traditions?","(A) He is the last of the ascetic prophets.","(B) He is the first of the ascetic prophets","(C) He is the most learned of the ascetic prophets","(D) He is the most holy of the ascetic prophets","A"
" The Tibetan Book of the Dead is also known as which of the following?","(A) Bardo Thodol","(B) Bardo Ngawang","(C) Bardo Gyaltsen","(D) Bardo Chogye","A"
" Which Hindu festival involves decorating the house with lights, setting off firecrackers and wearing new clothes?","(A) Deepavali","(B) Holi","(C) Diwali","(D) Navaratri","A"
"What hours are set aside as the ambrosial hours for the Sikhs?","(A) 5–7 a.m.","(B) 9–11 p.m.","(C) 3–6 p.m.","(D) 3–6 a.m.","D"
" Self-sacrifice is an important theme for which Buddhist thinker?","(A) Thich Nhat Hanh","(B) The Dalai Lama","(C) Daisetsu T. Suzuki","(D) Shaku Soyen","A"
" How many times a day is the Fatihah recited?","(A) Exactly 17","(B) At least 17","(C) At least 13","(D) Exactly 24","B"
"Which branch of Judaism founded by Zacharias Frankel is known for its ""Positive-Historical Judaism""?","(A) Conservative","(B) Reformed","(C) Reconstructionism","(D) Orthodox","A"
" What is the term used to describe the ""pure"" as an order of loyal Sikhs bound together?","(A) Khalsa","(B) Rahit","(C) Panj Kakke","(D) Shabad","A"
"Who is the founder of Sikhism?","(A) Guru Gobind Singh","(B) Guru Nanak","(C) Guru Kabir","(D) Guru Hargobind","B"
"Which term is usually associated with women in Hindu traditions?","(A) Polluted","(B) Ideal","(C) Auspiciousness","(D) Kind","C"
"What is another name for Enuma Elish?","(A) Epic of Creation","(B) Epic of Destruction","(C) Epic of Egypt","(D) Epic of Origins","A"
