property,prefix,Context,Question,Correct Answer,negative_sample_type
allows movement,a finger,'',Does a finger allow movement?,Yes,random
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random
bruises over time,gloves,'',Does gloves bruise over time?,No,random
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random
can affect urine,hair,'',Can hair affect urine?,No,random
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random
can attract insects,a lobster,'',Can a lobster attract insects?,No,random
can bark,an arrow,'',Can an arrow bark?,No,random
can be a distraction,a television,'',Can a television be a distraction?,Yes,random
can be a distraction,cider,'',Can cider be a distraction?,No,random
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random
can be airborne,chocolate,'',Can chocolate be airborne?,No,random
can be attached to a DVD player,a caterpillar,'',Can a caterpillar be attached to a dvd player?,No,random
can be attached to a car,an ear,'',Can an ear be attached to a car?,No,random
can be attached to a tractor,hair,'',Can hair be attached to a tractor?,No,random
can be attached to a tree,a swing,'',Can a swing be attached to a tree?,Yes,random
can be attached to an oven,a stove,'',Can a stove be attached to an oven?,Yes,random
can be attached to bicycles,a toad,'',Can a toad be attached to bicycles?,No,random
can be bad for the teeth,lemonade,'',Can lemonade be bad for the teeth?,Yes,random
can be baked,a bean,'',Can a bean be baked?,Yes,random
can be baked,broccoli,'',Can broccoli be baked?,No,random
can be bald,an owl,'',Can an owl be bald?,No,random
can be banned in a drought,a boomerang,'',Can a boomerang be banned in a drought?,No,random
can be bass,a guitar,'',Can a guitar be bass?,Yes,random
can be bent,a leg,'',Can a leg be bent?,Yes,random
can be bent,an owl,'',Can an owl be bent?,No,random
can be bitter in taste,cider,'',Can cider be bitter in taste?,Yes,random
can be blonde,hair,'',Can hair be blonde?,Yes,random
can be blonde,an ambulance,'',Can an ambulance be blonde?,No,random
can be blunt,a bayonet,'',Can a bayonet be blunt?,Yes,random
can be broken,a sweater,'',Can a sweater be broken?,No,random
can be button shaped,mushroom,'',Can mushroom be button shaped?,Yes,random
can be carbonated,lemonade,'',Can lemonade be carbonated?,Yes,random
can be claustrophobic,a squirrel,'',Can a squirrel be claustrophobic?,No,random
can be coated with flavor,a donut,'',Can a donut be coated with flavor?,Yes,random
can be cold,a plow,'',Can a plow be cold?,No,random
can be cooked,cheese,'',Can cheese be cooked?,Yes,random
can be covered,butter,'',Can butter be covered?,No,random
can be covered in chocolate,a seagull,'',Can a seagull be covered in chocolate?,No,random
can be covered in lip gloss,a lip,'',Can a lip be covered in lip gloss?,Yes,random
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random
can be crumbly,a bagpipe,'',Can a bagpipe be crumbly?,No,random
can be crushed,garlic,'',Can garlic be crushed?,Yes,random
can be crushed,a bikini,'',Can a bikini be crushed?,No,random
can be curly,hair,'',Can hair be curly?,Yes,random
can be cut into slices,mango,'',Can mango be cut into slices?,Yes,random
