task,QID,AnsRefIDs,Context,Question,Correct Answer
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the hallway?,Yes
qa1,15,[13],Sandra went to the hallway.,Is Sandra in the bathroom?,No
qa1,6,[1],John travelled to the kitchen.,Is John in the kitchen?,Yes
qa1,6,[1],John travelled to the kitchen.,Is John in the hallway?,No
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the kitchen?,Yes
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the garden?,No
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bathroom?,Yes
qa1,6,[4],Sandra went to the bathroom.,Is Sandra in the bedroom?,No
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the office?,Yes
qa1,6,[4],Sandra travelled to the office.,Is Sandra in the hallway?,No
qa1,15,[11],John moved to the bathroom.,Is John in the bathroom?,Yes
qa1,15,[11],John moved to the bathroom.,Is John in the office?,No
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the bathroom?,Yes
qa1,15,[11],Sandra went back to the bathroom.,Is Sandra in the kitchen?,No
qa1,12,[10],Mary went to the bathroom.,Is Mary in the bathroom?,Yes
qa1,12,[10],Mary went to the bathroom.,Is Mary in the kitchen?,No
qa1,3,[1],John moved to the bathroom.,Is John in the bathroom?,Yes
qa1,3,[1],John moved to the bathroom.,Is John in the garden?,No
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the bedroom?,Yes
qa1,3,[2],Mary moved to the bedroom.,Is Mary in the hallway?,No
qa1,9,[7],Mary moved to the hallway.,Is Mary in the hallway?,Yes
qa1,9,[7],Mary moved to the hallway.,Is Mary in the bedroom?,No
qa1,3,[2],Sandra travelled to the bathroom.,Is Sandra in the bathroom?,Yes
qa1,3,[2],Sandra travelled to the bathroom.,Is Sandra in the hallway?,No
qa1,15,[13],Mary went back to the bathroom.,Is Mary in the bathroom?,Yes
qa1,15,[13],Mary went back to the bathroom.,Is Mary in the bedroom?,No
qa1,9,[5],Daniel journeyed to the office.,Is Daniel in the office?,Yes
qa1,9,[5],Daniel journeyed to the office.,Is Daniel in the hallway?,No
qa1,15,[13],Daniel went to the garden.,Is Daniel in the garden?,Yes
qa1,15,[13],Daniel went to the garden.,Is Daniel in the bathroom?,No
qa1,12,[8],Sandra moved to the garden.,Is Sandra in the garden?,Yes
qa1,12,[8],Sandra moved to the garden.,Is Sandra in the bedroom?,No
qa1,6,[1],Daniel went back to the hallway.,Is Daniel in the hallway?,Yes
qa1,6,[1],Daniel went back to the hallway.,Is Daniel in the kitchen?,No
qa1,3,[2],Daniel journeyed to the hallway.,Is Daniel in the hallway?,Yes
qa1,3,[2],Daniel journeyed to the hallway.,Is Daniel in the office?,No
qa1,6,[2],Daniel journeyed to the hallway.,Is Daniel in the hallway?,Yes
qa1,6,[2],Daniel journeyed to the hallway.,Is Daniel in the kitchen?,No
qa1,6,[5],Sandra journeyed to the garden.,Is Sandra in the garden?,Yes
qa1,6,[5],Sandra journeyed to the garden.,Is Sandra in the hallway?,No
qa1,15,[11],John journeyed to the garden.,Is John in the garden?,Yes
qa1,15,[11],John journeyed to the garden.,Is John in the bedroom?,No
qa1,15,[11],John moved to the hallway.,Is John in the hallway?,Yes
qa1,15,[11],John moved to the hallway.,Is John in the garden?,No
qa1,12,[7],Mary journeyed to the bedroom.,Is Mary in the bedroom?,Yes
qa1,12,[7],Mary journeyed to the bedroom.,Is Mary in the bathroom?,No
qa1,6,[4],Daniel went back to the office.,Is Daniel in the office?,Yes
qa1,6,[4],Daniel went back to the office.,Is Daniel in the hallway?,No
qa1,9,[8],Daniel travelled to the garden.,Is Daniel in the garden?,Yes
qa1,9,[8],Daniel travelled to the garden.,Is Daniel in the bathroom?,No
qa1,15,[14],Daniel travelled to the bedroom.,Is Daniel in the bedroom?,Yes
qa1,15,[14],Daniel travelled to the bedroom.,Is Daniel in the garden?,No
