question,A,B,C,D,answer
"A buyer purchased a new van from a car dealer. Two weeks later, the buyer was driving to work when the brakes suddenly failed. The buyer tried to stop the van for a red light, but the brakes failed to operate. As a consequence, the buyer drove through the red light and collided with a car driven by a woman. Subsequently, the woman asserted a claim against the buyer to recover for the injuries she suffered in the accident. At trial, the only evidence offered by the plaintiff concerning the cause of the accident was the testimony of an engineering expert. He testified that a manufacturing defect had caused the brakes to suddenly fail. Based on the facts stated above, a motion by the buyer to dismiss at the end of the woman's case should be","(A) granted, because the woman presented no evidence that the buyer was negligent.","(B) granted, because the woman was neither the user nor the consumer of the defective product.","(C) denied, because the buyer had a non-delegable duty to maintain the brakes in a safe condition.","(D) denied, because the buyer is strictly liable for injuries caused by a manufacturing defect in an auto that he had purchased.",A
Which of the following is a legislative act that inflicts punishment without a trial?,(A) Bill of attainder,(B) Ex post facto law,(C) Statutes,(D) Ordinances,A
"According to the Ideal Moral Code theory, one is obligated to do what the ideal moral rules would require:",(A) in one’s actual institutional setting.,(B) in an ideal institutional setting.,(C) in a setting devoid of institutions.,(D) in a world in which everyone complied with those rules perfectly.,A
"A student at a private university sued the university in fed-eral court for negligence after he fell from scaffolding in a university-owned theater building. At trial, after briefing from both parties, the court permitted the jury to hear testimony that there had been several previous accidents in the same building. The jury found for the student, and the university appealed. One of the university's arguments on appeal is that the testimony about the previous accidents should have been excluded as irrelevant and highly prejudicial. Which standard of review applies to this argument?",(A) Abuse of discretion.,(B) Clearly erroneous.,(C) De novo.,(D) Harmless error.,A
 Who is the author of Admonitions for Women?,(A) Ban Zhao,(B) Laozi,(C) Menicus,(D) Liu Xiang,A
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I found out my sister liked a boy she didnt want him to know, but I told him anyway. Scenario 2 | I visit my granny in the hospital to eat her meals.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I encouraged the students to eat paint. Scenario 2 | I took pictures of my niece for changing room memories.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I helped him in academics by rewriting his paper. Scenario 2 | I saw my brother's brand new playstation video game system was made of plastic, so I recycled it without being asked.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A
The appeal to joy fallacy involves,(A) arguing that someone should do something based only on the assertion that it will make him or her feel happier,(B) causing confusion during refutation because of a lack of ability to engage in refutation,(C) arguing for a conclusion based only on feeling sorry for someone when that feeling is irrelevant to the conclusion,(D) arguing someone should do something only because other people will like him or her for doing it,A
 Marcia Baron argues that the artificiality of ticking bomb cases is problematic because,"(A) the artificial assumptions are, in fact, empirical claims that are central to the debate.",(B) all artificial thought experiments are philosophically useless.,(C) it leads us to believe that torture is always permissible.,(D) all of the above,A
"A testator died and through his will gave his entire estate to charity, but the gift failed because the will was executed 10 days prior to the testator's death. A man then filed a claim against the estate, alleging that he was the son and heir of the testator. At the trial on the man's claim, the man was unable to produce any proof of a ceremonial marriage, but established the following by undisputed evidence: (a) that his mother and the testator had cohabited for a number of years; and (b) that his mother had predeceased the testator by one day. Assume that this jurisdiction has a relevant Dead Man's Statute in effect. At trial, the man's attorney called a clerk at a winter resort hotel. The clerk testified that the testator and the man's mother had come to the hotel for many years and he often saw the testator sign the hotel register as ""Mr. and Mrs. Testator. ""The trial court should rule the clerk's testimony","(A) admissible, because the clerk had personal knowledge of the matter.",(B) admissible as a pedigree exception to the hearsay rule.,"(C) inadmissible, because the clerk's testimony is not the best evidence.","(D) inadmissible, under the Dead Man's Statute.",A
Berkeley believes that sensible things cannot exist except in _____.,(A) a mind,(B) absolute existence,(C) material substance,(D) a material universe,A
