Genre,Context,Question,Correct Answer
government,'',Premise: WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured. Hypothesis: Whole life policies cover the entire life of the insured.,0
travel,'',Premise: The twenty mastic villages known collectively as mastihohoria were built by the Genoese in the 14 15th centuries. Hypothesis: Mastihohoria is a collection of twenty mastic villages built be the genoese.,0
slate,'',"Premise: Both were run by editors (Paul Williams, Jann Wenner) who saw rock stars as modern poets and voices of their generation. Hypothesis: Both were operated by editors who fancied rock stars as modern poets.",0
government,'',"Premise: HCFA published a Notice of Proposed Rulemaking on March 28, 1997 (62 Fed. Hypothesis: HCFA provided a notice about the rules on March 28, 1997.",0
government,'',"Premise: The second missing benefit includes gains in environmental quality, especially improved health benefits. Hypothesis: One of the missing benefits is associated with better health and an increase in environmental quality.",0
government,'',Premise: Michael B. Wachter of the University of Pennsylvania and his colleagues conclude that there is a wage and fringe benefit premium for the postal bargaining labor force of 29. Hypothesis: Wachter works for the University of Pennsylvania. ,0
telephone,'',"Premise: maybe adult literacy maybe you know composition writing maybe you know uh volunteering you know on a tutor line or though the even through the elementary schools for help with homework or the other part of me says is God i've had enough kids  do i really Hypothesis: maybe I could volunteer to help with adult literacy or homework help for elementary schools but on the other hand, I've already had children",0
slate,'',"Premise: I regretfully acknowledge that it may even make practical sense to have a few hired guns like Norquist, Downey, and Weber around--people of value only for their connections to power, not for any knowledge or talent. Hypothesis: It might be a good idea to have hired guns around.",0
telephone,'',Premise: and then i got into it and then back out of it and it it just seems like every couple of years i get back in there Hypothesis: I have been into it on and off in the past years.,0
travel,'',"Premise: The castle itself comprises an early 17th-century tower house, restored with Irish oak from the park which is held together without a single nail. Hypothesis: Early 17th-century tower house is within the castle, restored with Irish oak from the park, which is held together without a single nail.",0
telephone,'',Premise: and uh my daughter gets irate when i when i do that because you know she's a teenager Hypothesis: My daughter's a teenager and so she gets mad whenever I do that.,0
government,'',Premise: These rules implement section 106 of the Federal Crop Insurance Reform Act of 1994. Hypothesis: The Federal Crop insurance Reform Act was passed in 1994.,0
telephone,'',Premise: so i'll probably say you know it's like well we've been talking for five six minutes so okay Hypothesis: We started talking 5 or 6 minutes ago.,0
telephone,'',Premise: there's certain times of the year of course that uh that it probably wouldn't do very well because of the temperature and stuff but but uh the right time of year it works pretty good Hypothesis: It works pretty good at the right time of year.,0
slate,'',"Premise: And these are tough times for reviewers in general. Hypothesis: Reviewers, as a class, are struggling at the moment.",0
slate,'',"Premise: Much of Among Giants affords an agreeable blend of the gritty and the synthetic, and the two main actors are a treat. Hypothesis: The two actors acted well.",0
slate,'',Premise: Dole : We ought to agree that somebody else should do it. Hypothesis: Someone else needs to do it.,0
travel,'',Premise: The  rock  has a soft texture and can be bought in a variety of shapes. Hypothesis: The rock comes in various shapes.,0
telephone,'',Premise: i like the Moody Blues Hypothesis: I am very fond of the Moody Blues,0
telephone,'',"Premise: yeah yeah i think well i know it's true you see a lot of that you know rally behind the female she may lose but by golly we're going to make a statement here Hypothesis: If we rally behind a female candidate, she might lose, but we will make history.",0
telephone,'',Premise: and then you can add cocoa powder to it to make chocolate or after it's thickened i cook it for a good once it starts boiling i just i cook it for a good seven minutes Hypothesis: I add cocoa powder and boil it for seven minutes.,0
telephone,'',"Premise: yeah no i don't know if there's any any series that i pay attention to i try to watch Cheers once in a while Hypothesis: I don't like television much, I do like Cheers though.",0
slate,'',"Premise: But if Clinton consents, censure and community service can proceed. Hypothesis: The community service will proceed if Clinton allows it.",0
telephone,'',Premise: um-hum they have socialized socialized health care Hypothesis: They have socialized health care.,0
telephone,'',Premise: huh do you have your own kiln or do you do you Hypothesis: Do you have a kiln that's yours?,0
telephone,'',Premise: yeah i've always threatened to take lessons but i've never gotten around to it Hypothesis: I have never gotten around to taking lessons.,0
telephone,'',Premise: were sort of a double sign with a a big miles per hour and a little kilometers per hour type uh marking on the side Hypothesis: A sign displaying both mph and kph.,0
travel,'',"Premise: It was the heyday of the brilliant but lethal Spanish-Italian  lecherous Rodrigo, who became Pope Alexander VI, and treacherous son Cesare, who stopped at nothing to control and expand the papal lands. Hypothesis: Rodrigo was a vicious man who loved power.",0
