task,QID,AnsRefIDs,Context,Question,Correct Answer
qa11,9,"[4, 5]",John went to the office. Afterwards he moved to the garden.,Is John in the bedroom?,No
qa2,14,"[8, 10]",John got the milk there. John moved to the garden.,Is the milk in the hallway?,No
qa9,6,[4],John is no longer in the hallway.,Is John in the hallway?,No
qa10,15,[14],Julie moved to the bedroom.,Is Julie in the school?,No
qa12,3,[2],John and Mary moved to the hallway.,Is John in the bathroom?,No
qa15,10,"[3, 1]",Emily is a cat. Cats are afraid of sheep.,Is emily afraid of a cat?,No
qa1,9,[7],Mary moved to the hallway.,Is Mary in the bedroom?,No
qa4,3,[2],The hallway is north of the kitchen.,Is the office north of the kitchen?,No
qa10,3,[1],Julie is in the park.,Is Julie in the cinema?,No
qa17,7,"[2, 1]",The blue square is above the red square. The yellow square is to the left of the blue square.,Is the red square to the left of the yellow square?,No
qa10,15,[13],Fred moved to the office.,Is Fred in the kitchen?,No
qa11,6,"[1, 2]",Daniel went to the bathroom. Following that he went back to the kitchen.,Is Daniel in the bathroom?,No
qa11,3,"[1, 2]",Mary went to the garden. Then she journeyed to the bedroom.,Is Mary in the garden?,No
qa9,9,[4],Daniel is not in the bathroom.,Is Daniel in the bathroom?,No
qa18,10,"[5, 2]",The chest is bigger than the suitcase. The box is bigger than the chest.,Is the suitcase bigger than the box?,No
qa13,9,"[7, 8]",Daniel and Sandra went back to the bedroom. Following that they moved to the bathroom.,Is Daniel in the hallway?,No
qa1,6,[2],Sandra travelled to the garden.,Is Sandra in the kitchen?,No
qa13,15,"[13, 14]",Daniel and Sandra journeyed to the hallway. Following that they went to the garden.,Is Daniel in the bedroom?,No
qa12,9,[8],Mary and Daniel journeyed to the hallway.,Is Mary in the bathroom?,No
qa10,6,[5],Julie is either in the cinema or the cinema.,Is Julie in the kitchen?,No
qa1,6,[2],Sandra moved to the kitchen.,Is Sandra in the garden?,No
qa9,15,[8],John is not in the kitchen.,Is John in the kitchen?,No
qa6,15,[10],John travelled to the bedroom.,Is John in the kitchen?,No
qa9,3,[2],Sandra is not in the garden.,Is Sandra in the garden?,No
qa18,13,"[5, 6]",The chocolate fits inside the container. The chest is bigger than the container.,Does the chest fit in the chocolate?,No
qa6,9,[5],Daniel moved to the hallway.,Is Daniel in the bedroom?,No
qa10,15,[13],Mary is in the cinema.,Is Mary in the office?,No
qa11,3,"[1, 2]",Mary journeyed to the garden. After that she travelled to the kitchen.,Is Mary in the office?,No
qa9,15,[13],Sandra is no longer in the kitchen.,Is Sandra in the kitchen?,No
qa2,16,"[15, 14]",Daniel dropped the football. Daniel journeyed to the hallway.,Is the football in the bathroom?,No
qa9,15,[11],Sandra went back to the hallway.,Is Sandra in the office?,No
qa12,9,[8],Sandra and Daniel went back to the bedroom.,Is Daniel in the bathroom?,No
qa10,15,[10],Mary is either in the cinema or the office.,Is Mary in the kitchen?,No
qa15,11,"[7, 2]",Jessica is a cat. Cats are afraid of wolves.,Is jessica afraid of a cat?,No
qa12,6,[5],John and Daniel journeyed to the garden.,Is Daniel in the bedroom?,No
qa4,3,[2],The kitchen is south of the hallway.,Is the bedroom south of the hallway?,No
qa11,12,"[7, 8]",John went back to the hallway. Then he moved to the garden.,Is John in the office?,No
qa6,14,[10],John moved to the office.,Is John in the hallway?,No
qa2,31,"[30, 16]",Daniel put down the milk there. Daniel moved to the garden.,Is the milk in the kitchen?,No
qa15,10,"[7, 3]",Jessica is a wolf. Wolves are afraid of cats.,Is jessica afraid of a mouse?,No
