property,prefix,Context,Question,Correct Answer,negative_sample_type
has feet,an arm,'',Does an arm have feet?,No,random
can make coffee,leek,'',Can leek make coffee?,No,random
can be found in the tool box,a television,'',Can a television be found in the tool box?,No,random
has wire loops,a dolphin,'',Does a dolphin have wire loops?,No,random
is required for movement,an oven,'',Is an oven required for movement?,No,random
is taut,a jacket,'',Is a jacket taut?,No,random
can live long,a parakeet,'',Can a parakeet live long?,No,random
has thick scales,a bone,'',Does a bone have thick scales?,No,random
can be used to make bread,pineapple,'',Can pineapple be used to make bread?,No,random
can beat,an ox,'',Can an ox beat?,No,random
can stop bullets,a mug,'',Can a mug stop bullets?,No,random
is worn on head,an emu,'',Is an emu worn on head?,No,random
can be made of gold,blueberry,'',Can blueberry be made of gold?,No,random
has bright feathers,an ambulance,'',Does an ambulance have bright feathers?,No,random
can have striped patterns,a chainsaw,'',Can a chainsaw have striped patterns?,No,random
can be locked,a spear,'',Can a spear be locked?,No,random
has slots for five fingers,sultana,'',Does sultana have slots for five fingers?,No,random
is used for watering,a tarantula,'',Is a tarantula used for watering?,No,random
can be used to make smoothies,gin,'',Can gin be used to make smoothies?,No,random
is pressurised,a currant,'',Is a currant pressurised?,No,random
can dive underwater,a locust,'',Can a locust dive underwater?,No,random
has hands,an onion,'',Does an onion have hands?,No,random
has rings,a bullet,'',Does a bullet have rings?,No,random
is a citrus fruit,peach,'',Is peach a citrus fruit?,No,random
is used in combat,a daffodil,'',Is a daffodil used in combat?,No,random
can cling to rocks,a sheep,'',Can a sheep cling to rocks?,No,random
can be covered in lip gloss,a harpsichord,'',Can a harpsichord be covered in lip gloss?,No,random
has grooves,a sweater,'',Does a sweater have grooves?,No,random
can be made of ebony,leek,'',Can leek be made of ebony?,No,random
has a line in the middle,a blender,'',Does a blender have a line in the middle?,No,random
is emulsified,a drill,'',Is a drill emulsified?,No,random
is pickled,a ferry,'',Is a ferry pickled?,No,random
has claws,a taxi,'',Does a taxi have claws?,No,random
can have wire mesh,butter,'',Can butter have wire mesh?,No,random
has a woolen coat,a rose,'',Does a rose have a woolen coat?,No,random
is shaped like a tree,a dog,'',Is a dog shaped like a tree?,No,random
has red pulp,a rattle,'',Does a rattle have red pulp?,No,random
is hard to open,a television,'',Is a television hard to open?,No,random
does not die when it stings,a hummingbird,'',Does a hummingbird doe not die when it stings?,No,random
is eaten by elephants,a desk,'',Is a desk eaten by elephants?,No,random
has a bedroom,a frog,'',Does a frog have a bedroom?,No,random
uses gas,a drill,'',Does a drill use gas?,No,random
can wake someone up,a cow,'',Can a cow wake someone up?,No,random
can drink,jelly,'',Can jelly drink?,No,random
can have short sleeves,a pony,'',Can a pony have short sleeves?,No,random
has a drain hole,satsuma,'',Does satsuma have a drain hole?,No,random
is essential,a harpoon,'',Is a harpoon essential?,No,random
uses radiation,a canoe,'',Does a canoe use radiation?,No,random
can cut through forrest vegetation,a goose,'',Can a goose cut through forrest vegetation?,No,random
can play audio,a canary,'',Can a canary play audio?,No,random
can hold things together,a bagpipe,'',Can a bagpipe hold things together?,No,random
is a squash,a birch tree,'',Is a birch tree a squash?,No,random
contains potassium,pear,'',Does pear contain potassium?,No,random
can go stale,a ladle,'',Can a ladle go stale?,No,random
can be grated,a drill,'',Can a drill be grated?,No,random
is an insect,a balloon,'',Is a balloon an insect?,No,random
has a base,a clam,'',Does a clam have a base?,No,random
can spin,a canary,'',Can a canary spin?,No,random
can be used to eat food,a coat,'',Can a coat be used to eat food?,No,random
can be found in forests,a strainer,'',Can a strainer be found in forests?,No,random
can trot,a tongue,'',Can a tongue trot?,No,random
hatches from a chrysalis,a shawl,'',Does a shawl hatche from a chrysalis?,No,random
is used to clear leaves,a nightingale,'',Is a nightingale used to clear leaves?,No,random
can have a hammer shaped head,kiwi,'',Can kiwi have a hammer shaped head?,No,random
is tropical,a cat,'',Is a cat tropical?,No,random
can be healed,a scallop,'',Can a scallop be healed?,No,random
has a flat surface,a violin,'',Does a violin have a flat surface?,No,random
is shaped like a bulb,a jellyfish,'',Is a jellyfish shaped like a bulb?,No,random
has a hard shell,a chestnut tree,'',Does a chestnut tree have a hard shell?,No,random
is white inside,a gorilla,'',Is a gorilla white inside?,No,random
has pigments,pear,'',Does pear have pigments?,No,random
can run,a wheelbarrow,'',Can a wheelbarrow run?,No,random
has a pupil,a harmonica,'',Does a harmonica have a pupil?,No,random
is used in fall,a buffalo,'',Is a buffalo used in fall?,No,random
has an eardrum,a spear,'',Does a spear have an eardrum?,No,random
is an aphrodisiac,mushroom,'',Is mushroom an aphrodisiac?,No,random
can have a wooden handle,a cockroach,'',Can a cockroach have a wooden handle?,No,random
has pink flesh,a strainer,'',Does a strainer have pink flesh?,No,random
is consumed by drinking,a carriage,'',Is a carriage consumed by drinking?,No,random
can be made of nylon,a grenade,'',Can a grenade be made of nylon?,No,random
can sieve,broccoli,'',Can broccoli sieve?,No,random
can be flavored,a camel,'',Can a camel be flavored?,No,random
is shaped like a shell,jeans,'',Is jeans shaped like a shell?,No,random
can be slow,a buttercup,'',Can a buttercup be slow?,No,random
has a prong,an ox,'',Does an ox have a prong?,No,random
can be found on farms,a shrimp,'',Can a shrimp be found on farms?,No,random
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random
has a tight surface,a foot,'',Does a foot have a tight surface?,No,random
makes a bellowing sound,a hammer,'',Does a hammer make a bellowing sound?,No,random
is a nut,a plate,'',Is a plate a nut?,No,random
can be used to throw over long distances,an ashtray,'',Can an ashtray be used to throw over long distances?,No,random
can contain a spring,a chair,'',Can a chair contain a spring?,No,random
can bounce,a canary,'',Can a canary bounce?,No,random
has flaky skin,a speedboat,'',Does a speedboat have flaky skin?,No,random
can stop,a car,'',Can a car stop?,No,random
is wide in shape,an accordion,'',Is an accordion wide in shape?,No,random
