Type,Digits,Context,Question,Correct Answer
Arithmetic,1_digit_subtraction,'',Is 3 minus 9 equal to 90?,No
Arithmetic,2_digit_subtraction,'',Is 43 minus 19 equal to 90?,No
Arithmetic,2_digit_multiplication,'',Is 84 times 36 equal to 7062?,No
Arithmetic,1_digit_addition,'',Is 5 plus 3 equal to 5?,No
Arithmetic,1_digit_subtraction,'',Is 6 minus 8 equal to 20?,No
Arithmetic,1_digit_multiplication,'',Is 2 times 8 equal to 96?,No
Arithmetic,1_digit_addition,'',Is 5 plus 7 equal to 76?,No
Arithmetic,2_digit_subtraction,'',Is 13 minus 60 equal to 594?,No
Arithmetic,1_digit_addition,'',Is 2 plus 2 equal to 5?,No
Arithmetic,2_digit_addition,'',Is 15 plus 99 equal to 968?,No
Arithmetic,1_digit_addition,'',Is 8 plus 4 equal to 84?,No
Arithmetic,1_digit_subtraction,'',Is 8 minus 5 equal to 2?,No
Arithmetic,1_digit_subtraction,'',Is 9 minus 2 equal to 5?,No
Arithmetic,2_digit_multiplication,'',Is 58 times 75 equal to 8998?,No
Arithmetic,2_digit_addition,'',Is 58 plus 83 equal to 467?,No
Arithmetic,1_digit_multiplication,'',Is 0 times 7 equal to 9?,No
Arithmetic,1_digit_addition,'',Is 0 plus 6 equal to 9?,No
Arithmetic,1_digit_multiplication,'',Is 5 times 8 equal to 67?,No
Arithmetic,1_digit_subtraction,'',Is 6 minus 9 equal to 93?,No
Arithmetic,1_digit_addition,'',Is 6 plus 1 equal to 1?,No
Arithmetic,1_digit_addition,'',Is 1 plus 8 equal to 4?,No
Arithmetic,2_digit_multiplication,'',Is 83 times 47 equal to 5398?,No
Arithmetic,2_digit_multiplication,'',Is 95 times 81 equal to 3935?,No
Arithmetic,2_digit_multiplication,'',Is 49 times 43 equal to 9863?,No
Arithmetic,2_digit_addition,'',Is 27 plus 77 equal to 475?,No
Arithmetic,2_digit_multiplication,'',Is 71 times 90 equal to 3673?,No
Arithmetic,1_digit_addition,'',Is 2 plus 5 equal to 5?,No
Arithmetic,1_digit_subtraction,'',Is 3 minus 3 equal to 2?,No
Arithmetic,2_digit_multiplication,'',Is 27 times 26 equal to 285?,No
Arithmetic,2_digit_subtraction,'',Is 85 minus 69 equal to 93?,No
Arithmetic,2_digit_multiplication,'',Is 10 times 66 equal to 491?,No
Arithmetic,1_digit_subtraction,'',Is 2 minus 6 equal to 96?,No
Arithmetic,1_digit_addition,'',Is 3 plus 0 equal to 8?,No
Arithmetic,1_digit_multiplication,'',Is 1 times 8 equal to 9?,No
Arithmetic,1_digit_subtraction,'',Is 1 minus 9 equal to 66?,No
Arithmetic,2_digit_subtraction,'',Is 11 minus 89 equal to 658?,No
Arithmetic,1_digit_subtraction,'',Is 9 minus 5 equal to 7?,No
Arithmetic,2_digit_multiplication,'',Is 95 times 18 equal to 1148?,No
Arithmetic,2_digit_subtraction,'',Is 42 minus 44 equal to 28?,No
Arithmetic,1_digit_multiplication,'',Is 0 times 9 equal to 6?,No
Arithmetic,2_digit_addition,'',Is 13 plus 86 equal to 70?,No
Arithmetic,1_digit_addition,'',Is 4 plus 2 equal to 1?,No
Arithmetic,2_digit_multiplication,'',Is 61 times 62 equal to 9267?,No
Arithmetic,2_digit_multiplication,'',Is 30 times 74 equal to 4045?,No
Arithmetic,1_digit_addition,'',Is 5 plus 9 equal to 85?,No
Arithmetic,1_digit_subtraction,'',Is 6 minus 2 equal to 6?,No
Arithmetic,2_digit_subtraction,'',Is 74 minus 32 equal to 18?,No
Arithmetic,1_digit_subtraction,'',Is 1 minus 8 equal to 47?,No
Arithmetic,1_digit_addition,'',Is 3 plus 9 equal to 97?,No
Arithmetic,2_digit_subtraction,'',Is 54 minus 93 equal to 148?,No
Arithmetic,1_digit_multiplication,'',Is 1 times 0 equal to 4?,No
Arithmetic,1_digit_multiplication,'',Is 9 times 3 equal to 96?,No
Arithmetic,1_digit_subtraction,'',Is 1 minus 5 equal to 26?,No
Arithmetic,2_digit_multiplication,'',Is 43 times 10 equal to 124?,No
Arithmetic,2_digit_multiplication,'',Is 95 times 29 equal to 3422?,No
Arithmetic,2_digit_addition,'',Is 24 plus 95 equal to 454?,No
Arithmetic,1_digit_multiplication,'',Is 3 times 7 equal to 53?,No
Arithmetic,1_digit_subtraction,'',Is 5 minus 3 equal to 1?,No
Arithmetic,1_digit_subtraction,'',Is 6 minus 5 equal to 3?,No
Arithmetic,1_digit_subtraction,'',Is 1 minus 4 equal to 37?,No
Arithmetic,1_digit_addition,'',Is 3 plus 1 equal to 9?,No
Arithmetic,1_digit_subtraction,'',Is 7 minus 6 equal to 7?,No
Arithmetic,2_digit_addition,'',Is 68 plus 11 equal to 99?,No
Arithmetic,2_digit_multiplication,'',Is 38 times 22 equal to 143?,No
Arithmetic,2_digit_multiplication,'',Is 24 times 76 equal to 6365?,No
Arithmetic,1_digit_addition,'',Is 5 plus 8 equal to 38?,No
Arithmetic,2_digit_multiplication,'',Is 29 times 21 equal to 312?,No
