metric,direction,comparison,mean_diff,t_stat,p_value,significance,n_pairs
Accuracy,higher is better,RB vs Baseline,+0.0273,+6.9932,1.69e-10,***,120
Accuracy,higher is better,BC vs Baseline,+0.0219,+5.6439,1.15e-07,***,120
Accuracy,higher is better,CC vs Baseline,-0.0027,-0.4894,0.6255,,120
Accuracy,higher is better,RB vs BC,+0.0054,+8.2298,2.72e-13,***,120
Accuracy,higher is better,RB vs CC,+0.0301,+7.8483,2.05e-12,***,120
TVD,lower is better,RB vs Baseline,-0.0815,-7.2183,5.37e-11,***,120
TVD,lower is better,BC vs Baseline,-0.0823,-7.4496,1.63e-11,***,120
TVD,lower is better,CC vs Baseline,+0.0141,+1.3760,0.1714,,120
TVD,lower is better,RB vs BC,+0.0008,+1.1342,0.2590,,120
TVD,lower is better,RB vs CC,-0.0956,-11.1862,2.73e-20,***,120
RSD,lower is better,RB vs Baseline,-0.1217,-6.2144,7.86e-09,***,120
RSD,lower is better,BC vs Baseline,-0.1208,-6.2849,5.60e-09,***,120
RSD,lower is better,CC vs Baseline,+0.0187,+1.0578,0.2923,,120
RSD,lower is better,RB vs BC,-0.0010,-0.8474,0.3984,,120
RSD,lower is better,RB vs CC,-0.1404,-10.1584,7.77e-18,***,120
