question,A,B,C,D,answer
"You are a homosexual male: Last night, you were tempted by lusty, swarthy Jacques (the king of fraternity row) to join him at the local dairy bar for a tall cool glass of milk. You also briefly considered studying for this test, but Jacques won out. In Freudian terms, which of the following was dominant?",(A) the id,(B) the ego,(C) the superego,(D) the Oedipus complex,A
Which of the following is the primary ethical principle guiding the conduct of the practitioner's professional life,(A) Duty to the client,(B) Confidentiality,(C) Duty to the profession,(D) Legal defensibility,A
Expansionary monetary policy is designed to,(A) decrease the interest rate increase private investment increase aggregate demand and increase domestic output.,(B) decrease the interest rate increase private investment increase aggregate demand and increase the unemployment rate.,(C) increase the interest rate increase private investment increase aggregate demand and increase domestic output.,(D) increase the interest rate decrease private investment increase aggregate demand and increase domestic output.,A
Private industry can promote economic growth by,(A) implementing innovative production techniques.,(B) offering products at artificially low prices.,(C) giving a significant amount of profits to charity.,(D) hiring workers who are not really needed.,A
Why might American exceptionalism lead to opposition to world government?,(A) Its general anti-statism opposes centralized government,(B) It views world government as impractical,(C) It views the UN as a sufficient form of global governance,(D) None of the above,A
Emily scored at the 65th percentile on a standardized achievement test. This indicates which of the following? Her score was,(A) above average,(B) average,(C) below average,(D) just passing,A
An individual’s genotype is ___________.,(A) The 23 pairs of chromosomes one inherits from one’s parents,(B) One’s environmental context,(C) One’s observable appearance and characteristics,(D) One’s physical attributes,A
"When considering economic tools for security policy, which of the following is the odd one out?",(A) Withdrawal of economic trade rights with the domestic market.,(B) Export controls protecting technological advantage and further foreign policy objectives.,(C) Control of munitions and arms sales.,(D) Import restrictions to protect a domestic market from foreign goods.,A
EEGs that consist primarily of alpha and beta waves are characteristic of,(A) consciousness,(B) stage 1 sleep,(C) stage 2 sleep,(D) stage 3 sleep,A
Relatively free or easy entry (low or nonexistent barriers to entry) is best matched by which of the following?,"(A) More consumer choices, greater price elasticity of demand, more competitors.","(B) More consumer choices, lower price elasticity of demand, more competitors.","(C) More consumer choices, greater price elasticity of demand, fewer competitors.","(D) Fewer consumer choices, lower price elasticity of demand, fewer competitors.",A
"If the price of one good (A) increases and the quantity demanded of another good (B) increases, the two goods are",(A) substitute goods.,(B) complement goods.,(C) inferior goods.,(D) normal goods.,A
