Type,Digits,Context,Question,Correct Answer
Arithmetic,1_digit_addition,'',Is 8 plus 3 equal to 17?,No
Arithmetic,1_digit_addition,'',Is 1 plus 6 equal to 5?,No
Arithmetic,1_digit_addition,'',Is 1 plus 8 equal to 4?,No
Arithmetic,1_digit_addition,'',Is 7 plus 0 equal to 6?,No
Arithmetic,1_digit_addition,'',Is 2 plus 4 equal to 4?,No
Arithmetic,1_digit_addition,'',Is 5 plus 1 equal to 9?,No
Arithmetic,1_digit_addition,'',Is 4 plus 0 equal to 6?,No
Arithmetic,1_digit_addition,'',Is 6 plus 6 equal to 70?,No
Arithmetic,1_digit_addition,'',Is 3 plus 8 equal to 77?,No
Arithmetic,1_digit_addition,'',Is 8 plus 1 equal to 8?,No
Arithmetic,1_digit_addition,'',Is 5 plus 7 equal to 76?,No
Arithmetic,1_digit_addition,'',Is 2 plus 3 equal to 3?,No
Arithmetic,1_digit_addition,'',Is 9 plus 3 equal to 89?,No
Arithmetic,1_digit_addition,'',Is 5 plus 4 equal to 7?,No
Arithmetic,1_digit_addition,'',Is 1 plus 4 equal to 8?,No
Arithmetic,1_digit_addition,'',Is 7 plus 1 equal to 4?,No
Arithmetic,1_digit_addition,'',Is 9 plus 6 equal to 57?,No
Arithmetic,1_digit_addition,'',Is 6 plus 0 equal to 1?,No
Arithmetic,1_digit_addition,'',Is 4 plus 7 equal to 86?,No
Arithmetic,1_digit_addition,'',Is 4 plus 5 equal to 4?,No
Arithmetic,1_digit_addition,'',Is 7 plus 9 equal to 59?,No
Arithmetic,1_digit_addition,'',Is 9 plus 1 equal to 26?,No
Arithmetic,1_digit_addition,'',Is 2 plus 1 equal to 6?,No
Arithmetic,1_digit_addition,'',Is 5 plus 5 equal to 98?,No
Arithmetic,1_digit_addition,'',Is 5 plus 9 equal to 85?,No
Arithmetic,1_digit_addition,'',Is 9 plus 5 equal to 26?,No
Arithmetic,1_digit_addition,'',Is 0 plus 8 equal to 1?,No
Arithmetic,1_digit_addition,'',Is 4 plus 9 equal to 17?,No
Arithmetic,1_digit_addition,'',Is 6 plus 4 equal to 72?,No
Arithmetic,1_digit_addition,'',Is 4 plus 2 equal to 1?,No
Arithmetic,1_digit_addition,'',Is 0 plus 6 equal to 9?,No
Arithmetic,1_digit_addition,'',Is 8 plus 2 equal to 47?,No
Arithmetic,1_digit_addition,'',Is 8 plus 0 equal to 7?,No
Arithmetic,1_digit_addition,'',Is 1 plus 5 equal to 7?,No
Arithmetic,1_digit_addition,'',Is 6 plus 5 equal to 83?,No
Arithmetic,1_digit_addition,'',Is 1 plus 2 equal to 6?,No
Arithmetic,1_digit_addition,'',Is 5 plus 0 equal to 8?,No
Arithmetic,1_digit_addition,'',Is 1 plus 3 equal to 5?,No
Arithmetic,1_digit_addition,'',Is 4 plus 3 equal to 3?,No
Arithmetic,1_digit_addition,'',Is 6 plus 3 equal to 4?,No
Arithmetic,1_digit_addition,'',Is 7 plus 2 equal to 8?,No
Arithmetic,1_digit_addition,'',Is 6 plus 9 equal to 96?,No
