question,A,B,C,D,answer,source_file
"Length of the cable is doubled, its capacitance C will be",(A) one-fourth.,(B) one-half.,(C) doubled.,(D) unchanged.,C,electrical_engineering_processed.csv
Let x = 8. What is x>>1 in Python 3?,(A) 3,(B) 4,(C) 2,(D) 8,B,high_school_computer_science_processed.csv
"In the brain stem, pathways for:",(A) nociception decussate in the medial lemniscus,(B) skilled movements decussate in the medial lemniscus,(C) skilled motor movements decussate in the pyramids.,(D) discriminative touch decussate in the pyramids.,C,anatomy_processed.csv
"A proton moves in the +z-direction after being accelerated from rest through a potential difference V. The proton then passes through a region with a uniform electric field E in the +x-direction and a uniform magnetic field B in the +y-direction, but the proton’s trajectory is not affected. If the experiment were repeated using a potential difference of 2V, the proton would then be",(A) deflected in the +x-direction,(B) deflected in the -x-direction,(C) deflected in the +y-direction,(D) deflected in the -y-direction,B,college_physics_processed.csv
Statement 1 | Q is an extension field of Z_2. Statement 2 | Every non-constant polynomial over a field has a zero in some extension field.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",D,abstract_algebra_processed.csv
Consider the Bayesian network given below. How many independent parameters are needed for this Bayesian Network H -> U <- P <- W?,(A) 2,(B) 4,(C) 8,(D) 16,C,machine_learning_processed.csv
"Let G = (V, E) be a connected, undirected graph, and let a and b be two distinct vertices in V. Let P_1 be the problem of finding a shortest simple path between a and b, and let P_2 be the problem of finding a longest simple path between a and b. Which of the following statements about P_1 and P_2 is true?",(A) Both P_1 and P_2 can be solved in polynomial time.,(B) P_1 can be solved in polynomial time but P_2 is not known to be solvable in polynomial time.,(C) P_1 is not known to be solvable in polynomial time but P_2 can be solved in polynomial time.,(D) It is not known whether either P_1 or P_2 can be solved in polynomial time.,B,college_computer_science_processed.csv
A bi-convex lens has a radius of curvature of magnitude 20 cm. Which of the following best describes the image formed of an object of height 2 cm placed 30 cm from the lens?,"(A) Real, inverted, height = 1 cm","(B) Virtual, upright, height = 0.25 cm","(C) Real, upright, height = 1 cm","(D) Virtual, inverted, height = 0.25 cm",A,high_school_physics_processed.csv
"If U and V are 3-dimensional subspaces of R^5, what are the possible dimensions of U ∩ V?",(A) 0,(B) 1,(C) 0 or 1,"(D) 1, 2, or 3",D,college_mathematics_processed.csv
"In the program below, y is a positive integer (e.g. l, 2, 3, ...). result ← 0 REPEAT 3 TIMES { REPEAT y TIMES { result ← result + 1 } }",(A) y+3,(B) 3y,(C) y^3,(D) 3^y,B,high_school_computer_science_processed.csv
Which of the following is a balanced chemical reaction?,(A) Na2SO4 + Ba(NO3)2 → BaSO4 + NaSO4,(B) AgNO3 + K2CrO4 → Ag2CrO4 + 2 KNO3,(C) 5 FeCl2 + 8 HCl + KMnO4 → 5 FeCl3 + MnCl2 + 4 H2O + KCl,(D) Al(NO3)3 + 3 KOH → Al(OH)3 + KNO3,C,high_school_chemistry_processed.csv
Find the generator for the finite field Z_7.,(A) 1,(B) 2,(C) 3,(D) 4,C,abstract_algebra_processed.csv
Statement 1 | Every solvable group is of prime-power order. Statement 2 | Every group of prime-power order is solvable.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",D,abstract_algebra_processed.csv
"Two lists, list1 and list2, contain the names of books found in two different collections. A librarian wants to create newList, which will contain the names of all books found in either list, in alphabetical order, with duplicate entries removed. For example, if 1istl contains [""Macbeth"", ""Frankenstein"", ""Jane Eyre""] and 1ist2 contains [""Frankenstein"", ""Dracula, ""Macbeth"", ""Hamlet""], then newList will contain [""Dracula"", ""Frankenstein"", ""Hamlet"", ""Jane Eyre"", ""Macbeth""]. The following procedures are available to create newList. Procedure Explanation Sort (list) Sorts list in alphabetical order and returns the resulting list. Combine (listl, list2) Creates a new list consisting of the entries from list1 followed by the entries from list2. The resulting list is returned. RemoveDuplicates (list) Iterates through list. If any two or more entries have the same value, the duplicate entries are removed so that any entry appears at most once. The resulting list is returned. Which of the following code segments will correctly create newList?","(A) newList ← Combine (listl, list2)    newList ← Sort (newList)    newList ← RemoveDup1icates (newList)","(B) listl ← Sort (listl)    list2 ← Sort (list2)    newList ← Combine (listl, list2)    newList ← RemoveDuplicates (newList)","(C) listl ← RemoveDuplicates (listl)    list2 ← RemoveDuplicates (list2)    newList ← Combine (listl, 1ist2)    newList ← Sort (newList)","(D) listl ← RemoveDuplicates (listl)    listl ← Sort (listl)    list2 ← RemoveDuplicates (list2)    1ist2 ← Sort (list2)    newList ← Combine (listl, list2)",A,high_school_computer_science_processed.csv
Cobalt-60 is used in the radiation therapy of cancer and can be produced by bombardment of cobalt-59 with which of the following?,(A) Neutrons,(B) Alpha particles,(C) Beta particles,(D) X-rays,A,college_chemistry_processed.csv
The two moons of Mars are called ...,(A) Tritos and Desmos,(B) Tritos and Deimos,(C) Phobos and Tritos,(D) Phobos and Deimos,D,astronomy_processed.csv
Which of the following deals with network intrusion detection and real-time traffic analysis?,(A) John the Ripper,(B) L0phtCrack,(C) Snort,(D) Nessus,C,computer_security_processed.csv
Which of the following statements is not correct about lipids?,(A) Lipids consist of fatty acids and glycerol.,(B) Steroids are examples of lipids.,(C) The molecules of a saturated fatty acid are packed so close together that they form a solid at room temperature.,"(D) The head of a phospholipid is hydrophobic, and the tails are hydrophilic.",D,high_school_biology_processed.csv
"How many electrons, neutrons, and protons are in an atom of Cr?","(A) 24 electrons, 24 protons, 24 neutrons","(B) 27 electrons, 27 protons, 24 neutrons","(C) 24 electrons, 28 protons, 24 neutrons",(D) more information is needed to answer this question,D,high_school_chemistry_processed.csv
"Protons used in cancer therapy are typically accelerated to about 0.6c. How much work must be done on a particle of mass m in order for it to reach this speed, assuming it starts at rest?",(A) 0.25mc^2,(B) 0.60mc^2,(C) 0.67mc^2,(D) 1.25mc^2,A,college_physics_processed.csv
For which p is the norm ||x||_p expressable as an inner product?,(A) 1,(B) 2,(C) p >= 1,(D) infinity,B,college_mathematics_processed.csv
The smallest change in measured variable to which instrument will respond is,(A) resolution.,(B) accuracy.,(C) precision.,(D) sensitivity.,A,electrical_engineering_processed.csv
Use compatible numbers to estimate the quotient 117.83 ÷ 5.67.,(A) about 10,(B) about 20,(C) about 30,(D) about 40,B,elementary_mathematics_processed.csv
Which of the following statements about floating-point arithmetic is NOT true?,(A) It is inherently nonassociative because some numbers have no exact representation.,(B) It is inherently nonassociative because there have to be upper and lower bounds on the size of numbers.,(C) Associativity can be achieved with appropriate roundoff conventions.,(D) Some rational numbers have no exact representation.,C,college_computer_science_processed.csv
Which of the following bony structures may be palpated in a live patient?,(A) The supraorbital foramen,(B) The infraorbital foramen,(C) The mental foramen,(D) All of the above,D,anatomy_processed.csv
"The rotational correlation time of a spherical object of radius r immersed in a liquid with viscosity η is given by the Stokes equation: τc = 4πηr3/3kBT. A small molecule with relative molecular mass Mr = 100 in water at 298 K has τc = 50 ps. Assuming that Mr is proportional to the molecular volume, estimate τc for a small protein with Mr = 8400.",(A) 420 ns,(B) 42 ns,(C) 4.2 ns,(D) 420 ps,C,college_chemistry_processed.csv
"A student has 3 puzzles. Each puzzle has 1,250 pieces. What is the total number of pieces in the puzzles?","(A) 3,650","(B) 3,750","(C) 4,650","(D) 4,750",B,elementary_mathematics_processed.csv
A principal source of the Earth’s internal energy is,(A) tidal friction.,(B) gravitational pressure.,(C) radioactivity.,(D) solar radiation.,C,conceptual_physics_processed.csv
"Two alternatives for interconnecting a set of processors with bidirectional links are (1) the fully interconnected network, in which each processor is directly connected to every other processor, and (2) the ring network, in which each processor is connected to two other processors. The worst-case path length for a network is the maximum, over all pairs of nodes in the network, of the minimum length paths (measured in number of links) between the nodes. For each type of interconnection of n processors, a figure of merit can be formed as the product of the number of links required for the network times the worst-case path length connecting any two processors. The ratio of this figure of merit for the fully interconnected network compared to that of the ring network, for even n > 2, is",(A) 1/(n^2),(B) 1/(n(n-1)),(C) 1/n,(D) (n-1)/n,D,college_computer_science_processed.csv
General relativity predicts that,(A) light leaving the Sun is slowed by gravity.,(B) light passing the Sun is deflected.,(C) a clock on the Sun’s surface runs faster than on Earth.,(D) All of these.,D,conceptual_physics_processed.csv
"Which of the following are valid intervals of convergence for a power series?(I) [−1, 3)(II) (−∞, 0](III) [2, 2] ∪ [3, 3](IV) (−∞,∞)",(A) Only (II),(B) Only (IV ),(C) (I) and (IV ),(D) (II) and (III),C,college_mathematics_processed.csv
A Web site uses several strategies to prevent unauthorized individuals from accessing user accounts. Which of the following is NOT an example of multifactor authentication?,"(A) Each employee for a company is issued a USB device that contains a unique token code. To log into a company computer, an employee must insert the USB device into the computer and provide a correct password.","(B) After logging into an account from a new device, a user must enter a code that is sent via e-mail to the e-mail address on file with the account.","(C) In order to log into an account, a user must provide both a password and a fingerprint that is captured using the user’s device.","(D) When a user enters an incorrect password more than two times in a row, the user is locked out of the account for 24 hours.",D,high_school_computer_science_processed.csv
Estimate 999 - 103. The difference is between which numbers?,"(A) 1,300 and 1,500","(B) 1,000 and 1,200",(C) 700 and 900,(D) 400 and 600,C,elementary_mathematics_processed.csv
"Stomata allow gases, such as H2O and CO2, to exchange between the inside of a plant leaf and the surrounding environment. Which of the following occurs under normal daytime environmental conditions?",(A) H2O diffuses out of the leaf faster than CO2 enters.,(B) H2O diffuses out of the leaf slower than CO2 enters.,(C) CO2 diffuses out of the leaf faster than H2O enters.,(D) H2O exchanges with CO2 at equal rates.,A,high_school_biology_processed.csv
"A university’s mathematics department has 10 professors and will offer 20 different courses next semester. Each professor will be assigned to teach exactly 2 of the courses, and each course will have exactly one professor assigned to teach it. If any professor can be assigned to teach any course, how many different complete assignments of the 10 professors to the 20 courses are possible?",(A) 20!/2^(10),(B) 10!/2^9,(C) 10^(20) - 2^(10),(D) 10^(20) - 100,A,college_mathematics_processed.csv
"In a hydraulic press operation, the output piston cannot",(A) move farther than the input piston,(B) exceed the force input,(C) exceed the input piston’s speed,(D) produce increased energy,D,conceptual_physics_processed.csv
"Two simple pendulums A and B consist of identical masses suspended from strings of length L_A and L_B, respectively. The two pendulums oscillate in equal gravitational fields. If the period of pendulum B is twice the period of pendulum A, which of the following is true of the lengths of the two pendulums?",(A) L_B = 4L_A,(B) L_B = 2L_A,(C) L_B = L_A,(D) L_B = 1/2 L_A,A,college_physics_processed.csv
Which of the following anatomical regions of abdomen lies just distal to the sternum?,(A) Epigastric,(B) Hypochondriac,(C) Hypogastric,(D) Lumbar,A,anatomy_processed.csv
The language {ww | w in (0 + 1)*} is,(A) not accepted by any Turing machine,"(B) accepted by some Turing machine, but by no pushdown automaton","(C) accepted by some pushdown automaton, but not context-free","(D) context-free, but not regular",B,college_computer_science_processed.csv
Colpitts oscillator is also called as,(A) Tank circuit oscillator,(B) LC oscillator,(C) Resonant circuit oscillator,(D) All of the above,D,electrical_engineering_processed.csv
"In general, how does tripling the sample size change the confidence interval size?",(A) It triples the interval size.,(B) It divides the interval size by 3.,(C) It multiples the interval size by 1.732.,(D) It divides the interval size by 1.732.,D,high_school_statistics_processed.csv
Proprioceptive nerve endings in synovial joints are located in,(A) articular cartilage and synovial membrane.,(B) synovial membrane and capsule.,(C) capsule and ligaments.,(D) ligaments and articular discs.,D,anatomy_processed.csv
Statement 1| The ID3 algorithm is guaranteed to find the optimal decision tree. Statement 2| Consider a continuous probability distribution with density f() that is nonzero everywhere. The probability of a value x is equal to f(x).,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",B,machine_learning_processed.csv
Which of the following comes closest to being a perfectly secure encryption scheme?,"(A) The Caesar Cipher, a substitution cipher","(B) DES (Data Encryption Standard), a symmetric-key algorithm","(C) Enigma, a transposition cipher",(D) One-time pad,D,college_computer_science_processed.csv
"A point $(x,y)$ is randomly picked from inside the rectangle with vertices $(0,0)$, $(3,0)$, $(3,2)$, and $(0,2)$. What is the probability that $x < y$?",(A) \frac{1}{12},(B) \frac{1}{6},(C) \frac{2}{3},(D) \frac{1}{3},D,high_school_mathematics_processed.csv
"Assume that any assignment statement can be executed in unit time. If as many identical processors as needed are used, what is the minimum number of time units needed to execute the assignmentsA := B + CB := A - BC := A * ED := A/FE := B - CF := A + Bwith the same result as if the assignments were executed in the order shown?",(A) 1,(B) 2,(C) 3,(D) 4,C,college_computer_science_processed.csv
"Mergesort works by splitting a list of n numbers in half, sorting each half recursively, and merging the two halves. Which of the following data structures will allow mergesort to work in O(n log n) time?I. A singly linked listII. A doubly linked listIII. An array",(A) None,(B) III only,(C) I and II only,"(D) I, II, and III",D,college_computer_science_processed.csv
Find all cosets of the subgroup 4Z of 2Z.,(A) 4Z,"(B) 4Z, 2 + 4Z",(C) 2Z,(D) Z,B,abstract_algebra_processed.csv
Statement 1 | Every integral domain with characteristic 0 is infinite. Statement 2 | Every integral domain with prime characteristic is finite.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",C,abstract_algebra_processed.csv
Estimate the β-hyperfine value for the cyclobutyl radical (C4H7•) assuming the radical is flat and the HCH angle is 115°.,(A) 4.6 mT,(B) 27 G,(C) 5.4 mT,(D) 3.8 mT,A,college_chemistry_processed.csv
Which of the following would most likely describe the fate of a vesicle formed as a result of phagocytosis?,(A) The vesicle merges with a mitochondrion.,(B) The vesicle merges with a lysosome.,"(C) The vesicle is shuttled to the nucleus, and its contents become part of the nucleolus.",(D) The vesicle releases its contents to the cytoplasm to be digested.,B,high_school_biology_processed.csv
Statement 1| Highway networks were introduced after ResNets and eschew max pooling in favor of convolutions. Statement 2| DenseNets usually cost more memory than ResNets.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",D,machine_learning_processed.csv
"Let x_1 = 1 and x_(n+1) = sqrt(3+2x_n) for all positive integers n. If it is assumed that {x_n} converges, then lim x_n =",(A) 3,(B) e,(C) sqrt(5),(D) 0,A,college_mathematics_processed.csv
Which is not a similarity between Saturn and Jupiter's atmospheres?,(A) a composition dominated by hydrogen and helium,(B) the presence of belts zones and storms,(C) an equatorial wind speed of more than 900 miles per hour,"(D) significant ""shear"" between bands of circulation at different latitudes",C,astronomy_processed.csv
The numerical output of a sigmoid node in a neural network:,"(A) Is unbounded, encompassing all real numbers.","(B) Is unbounded, encompassing all integers.",(C) Is bounded between 0 and 1.,(D) Is bounded between -1 and 1.,C,machine_learning_processed.csv
An integer c is a common divisor of two integers x and y if and only if c is a divisor of x and c is a divisor of y. Which of the following sets of integers could possibly be the set of all common divisors of two integers?,"(A) {-6,-2, -1, 1, 2, 6}","(B) {-6, -2, -1, 0, 1, 2, 6}","(C) {-6, -3, -2, -1, 1, 2, 3, 6}","(D) {-6, -3, -2, -1, 0, 1, 2, 3, 6}",C,college_computer_science_processed.csv
Which of the following correctly describes the motion of a real object in free fall? Assume that the object experiences drag force proportional to speed and that it strikes the ground before reaching terminal sped.,(A) It will fall with increasing speed and increasing acceleration.,(B) It will fall with increasing speed and decreasing acceleration.,(C) It will fall with decreasing speed and increasing acceleration.,(D) It will fall with decreasing speed and decreasing acceleration.,B,high_school_physics_processed.csv
The lunar maria are:,(A) ancient heavily cratered highlands,(B) dark lavas inside volcanic calderas,(C) dark lavas filling older impact basins,(D) the bright regions on the Moon,C,astronomy_processed.csv
A guitar string creates a sound wave of known frequency. Which of the following describes a correct and practical method of measuring the wavelength of the sound wave with a meterstick?,(A) Lightly touch the guitar string in the middle such that a single node is created. Measure the length of the string; this is the wavelength.,(B) Measure the length of the guitar string; this is half the wavelength.,(C) Adjust the length of a pipe placed near the string so that resonances are heard. Measure the difference between the pipe lengths for consecutive resonances; this is half the wavelength.,(D) Measure the peak-to-peak distance of the wave as it passes; this is the wavelength.,C,high_school_physics_processed.csv
